PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5
M;260_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;260;;;;;;;0;;;;1468;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DI;52HS075;;FLD;;;Test button for indicator and alarm (outer inst.) с.5100;No;ИСТИНА;ЛОЖЬ;;356;;;;;;;;;;;58;ИСТИНА;57003;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;41.03;9;3;1;Low;;Digital switch without loop monitoring;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_511_1;435
M;C2406_3;;;;;Compiler marker (224, 132);;ЛОЖЬ;ЛОЖЬ;;2406;;;;;;;0;;;;991;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;52XA132;;FLD;;;Beacon (fire) Compressor room;Yes;ИСТИНА;ЛОЖЬ;;170;;;;;;;0;;;;91;ИСТИНА;57004;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;41.05;13;4;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_511_1;540
M;C274_4_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;274;;;;;;;0;;;;2884;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;266_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;266;;;;;;;0;;;;1478;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C600_5_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;600;;;;;;;0;;;;2300;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;52GT002_B0;;COM;;;Bit 0;No;ЛОЖЬ;ЛОЖЬ;;266;;;;;;;0;;;;331;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_511_1;760
DO;52GT027_B1;;COM;;;Bit 1;No;ЛОЖЬ;ЛОЖЬ;;454;;;;;;;0;;;;307;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_511_1;736
M;C606_2_L;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;606;;;;;;;0;;;;851;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C462_1_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;462;;;;;;;0;;;;2457;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C368_1_B;;;;;Compiler marker;;ЛОЖЬ;ЛОЖЬ;;368;;;;;;;0;;;;44;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
T;276_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;276;;;;;;;;100 ms;10;;556;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Pulse retriggerable with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C364_2_H;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;364;;;;;;;0;;;;2776;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;420_21;;;;;;;ЛОЖЬ;ЛОЖЬ;;420;;;;;;;0;;;;1868;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C380_1_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;380;;;;;;;0;;;;2720;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DI;52XS037C;;MCC;;;FUN 1AB1 HEALTHY;Yes;ИСТИНА;ЛОЖЬ;;432;;;;;;;;;;;185;ИСТИНА;57184;None;;;;;;1=READY;;;;;;;Undefined;;;;41.03;13;2;1;Low;;Digital switch without loop monitoring;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_511_1;422
M;372_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;372;;;;;;;0;;;;1705;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;416_532_2;;;;;52GT026_RR;;ЛОЖЬ;ЛОЖЬ;;532;;;;;;;0;;;;1816;ЛОЖЬ;0;;;;;;;1=READY;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;432_8;;;;;;;ЛОЖЬ;ЛОЖЬ;;432;;;;;;;0;;;;934;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;464_476_2;;;;;52HS068_FL;;ЛОЖЬ;ЛОЖЬ;;476;;;;;;;0;;;;784;ЛОЖЬ;0;;;;;;;0=cmdSTOP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;2404_B;;;;;0=LINE FAULT;;ЛОЖЬ;ЛОЖЬ;;2404;;;;;;;0;;;;603;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C514_2_K;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;514;;;;;;;0;;;;2337;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;290_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;290;;;;;;;0;;;;1613;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
T;502_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;502;;;;;;;;100 ms;10;;736;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DO;51HS150_MOC;;COM;;;MO CONFIRM;No;ЛОЖЬ;ЛОЖЬ;;142;;;;;;;0;;;;416;ИСТИНА;57368;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_511_1;842
M;2440_C;;;;;In 3 (0=Trip);;ЛОЖЬ;ЛОЖЬ;;2440;;;;;;;0;;;;1398;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C436_2_N;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;436;;;;;;;0;;;;2515;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C474_1_K;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;474;;;;;;;0;;;;2407;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C362_1_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;362;;;;;;;0;;;;2777;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;450_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;450;;;;;;;0;;;;1958;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DI;41-TempL_Alarm;;SYS;;;Temp low alarm;Yes;ЛОЖЬ;;;21;;;;;;;;;;;4;ЛОЖЬ;0;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_511_1;616
DI;52HS043B;;COM;;;DCS STOP;No;ЛОЖЬ;ИСТИНА;;516;;;;;;;0;;;;3238;ЛОЖЬ;0;None;;;;;;1=DCScmdSTOP;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Input;EPKS_CCB;FGS_511_1;71
T;2462_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;2462;;;;;;;;10 ms;1;;124;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed ON memorize with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;350_502_6;;;;;52HS142;;ЛОЖЬ;ЛОЖЬ;;502;;;;;;;0;;;;2121;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C372_2_H;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;372;;;;;;;0;;;;2751;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C380_1_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;380;;;;;;;0;;;;2719;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DI;FGS_511_1.52HS140A_ENB;;FSC;;;GAS MOS 5100 ENABLE;Yes;ЛОЖЬ;ЛОЖЬ;;255;;;;;;;0;;;;1173;ЛОЖЬ;0;None;;;;;;1=ENABLED;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;Input;FGS_001_1;FGS_511_1;5;;;;;;;;;;;;;;;;
DI;52XS035_P;;COM;;;FUN 1B3 RUNNING;No;ИСТИНА;ИСТИНА;;292;;;;;;;0;;;;1266;ЛОЖЬ;57005;None;;;;;;1=RUNNING;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;Input;C300_CCB;FGS_511_1;3;;;;;;;;;;;;
DO;52HS061B_B0;;COM;;;Bit 0;No;ЛОЖЬ;ЛОЖЬ;;462;;;;;;;0;;;;487;ИСТИНА;57386;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_511_1;901
M;402_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;402;;;;;;;0;;;;1024;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;52GA024;;COM;;;TRIP INITIATOR-Toxic gas;No;ЛОЖЬ;ЛОЖЬ;;388;;;;;;;1;;;;260;ИСТИНА;57300;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_511_1;689
DO;52HS060B_MOC;;COM;;;MO CONFIRM;No;ЛОЖЬ;ЛОЖЬ;;280;;;;;;;0;;;;483;ИСТИНА;57383;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_511_1;897
M;150_154_2;;;;;51YT001_BadPV_FL;;ЛОЖЬ;ЛОЖЬ;;154;;;;;;;0;;;;1395;ЛОЖЬ;0;;;;;;;0=BadPV;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;124_182_2;;;;;51HS142_RR;;ЛОЖЬ;ЛОЖЬ;;182;;;;;;;0;;;;693;ЛОЖЬ;0;;;;;;;1=READY;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C424_2_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;424;;;;;;;0;;;;2577;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C292_1_1;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;292;;;;;;;0;;;;2836;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C150_2_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;150;;;;;;;0;;;;2991;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;100_132_4;;;;;51HS157;;ЛОЖЬ;ЛОЖЬ;;132;;;;;;;0;;;;685;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;514_11;;;;;;;ЛОЖЬ;ЛОЖЬ;;514;;;;;;;0;;;;2052;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C140_7_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;140;;;;;;;0;;;;3032;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C436_1_2;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;436;;;;;;;0;;;;2529;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C422_4_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;422;;;;;;;0;;;;2585;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;114_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;114;;;;;;;0;;;;599;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;268_271_1;;;;;5100_FLGD_B1;;ЛОЖЬ;ЛОЖЬ;;271;;;;;;;0;;;;132;ЛОЖЬ;0;;;;;;;PULSE=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C118_3_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;118;;;;;;;0;;;;3118;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;52HX034AL_B1;;COM;;;Bit 1;No;ЛОЖЬ;ЛОЖЬ;;436;;;;;;;0;;;;522;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_511_1;936
M;C150_1_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;150;;;;;;;0;;;;2985;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C142_2_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;142;;;;;;;0;;;;3020;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DI;41-ClockSrcFault2;;SYS;;;Clock source 2 fault;Yes;ЛОЖЬ;;;0;;;;;;;;;;;15;ЛОЖЬ;0;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_511_1;604
M;C255_1;;;;;Compiler marker (288, 204);;ЛОЖЬ;ЛОЖЬ;;255;;;;;;;0;;;;1006;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;376_378_3;;;;;52GA010_FL_P;;ЛОЖЬ;ЛОЖЬ;;378;;;;;;;0;;;;45;ЛОЖЬ;0;;;;;;;PULSE=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;C412_3_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;412;;;;;;;0;;;;2623;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C292_2_L;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;292;;;;;;;0;;;;2821;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;2462_L;;;;;0=Cmd FAIL;;ЛОЖЬ;ЛОЖЬ;;2462;;;;;;;0;;;;1603;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;52GT010_MOC;;COM;;;MO CONFIRM;No;ЛОЖЬ;ЛОЖЬ;;374;;;;;;;0;;;;234;ИСТИНА;57289;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_511_1;663
M;122_148_1;;;;;51XA141_FL;;ЛОЖЬ;ЛОЖЬ;;148;;;;;;;0;;;;677;ЛОЖЬ;0;;;;;;;0=ACTIVATED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;100_154_4;;;;;51HS157;;ЛОЖЬ;ЛОЖЬ;;154;;;;;;;0;;;;450;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;366_408_2;;;;;5100-OU-03 T.GAS ALARM;;ЛОЖЬ;ЛОЖЬ;;408;;;;;;;0;;;;2126;ЛОЖЬ;0;;;;;;;0=ACTIVATED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C2403_5;;;;;Compiler marker (224, 228);;ЛОЖЬ;ЛОЖЬ;;2403;;;;;;;0;;;;1005;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;2410_E;;;;;Bit 1;;ЛОЖЬ;ЛОЖЬ;;2410;;;;;;;0;;;;1596;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DI;52XS120;;FLD;;;Fire TP;Yes;ИСТИНА;ЛОЖЬ;;511;;;;;;;;;;;114;ИСТИНА;57006;None;;;;;;1=ALARM;;;;;;;Undefined;491;3428;;41.05;9;11;1;Low;;Digital switch without loop monitoring;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_511_1;475
M;382_530_2;;;;;52GT014_RR;;ЛОЖЬ;ЛОЖЬ;;530;;;;;;;0;;;;1733;ЛОЖЬ;0;;;;;;;1=READY;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C616_3_M;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;616;;;;;;;0;;;;2254;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;51HS137_B0;;COM;;;Bit 0;No;ЛОЖЬ;ЛОЖЬ;;114;;;;;;;0;;;;355;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_511_1;784
