FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
740;ESD_001_5_FLD0740;20-I-101: 20LT173;2000;;ЛОЖЬ;;Program block;ESD_001_5;;;01.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
151;ESD_001_5_FLD0151;MOS AREA 2000-3;2200;;ЛОЖЬ;;Program block;ESD_001_5;;;04.10.2013;;;Sysdtlsmflda;Sysdtlsmflda_fp;
531;ESD_001_5_FLD0531;I-605 INPUT SIGNAL (22SSHH021);2200;P-2005;ЛОЖЬ;;Program block;ESD_001_5;;;04.10.2013;;;Sysdtlsmflda;Sysdtlsmflda_fp;
774;ESD_001_5_FLD0774;OOS 21XV400, 21XV265, 21XV271;;;ЛОЖЬ;;Program block;ESD_001_5;;;08.08.2015;;;Sysdtlsmflda;Sysdtlsmflda_fp;
513;ESD_001_5_FLD0513;I-605 INPUT SIGN. (22TT081H);2200;P-2005;ЛОЖЬ;;Program block;ESD_001_5;;;30.06.2014;;;Sysdtlsmflda;Sysdtlsmflda_fp;
243;ESD_001_5_FLD0243;I-311 INPUT SIGNALS (21PT103);;;ЛОЖЬ;;Program block;ESD_001_5;;;01.08.2019;;;Sysdtlsmflda;Sysdtlsmflda_fp;
517;ESD_001_5_FLD0517;I-186 INPUT SIGN. (22TT081L);2200;P-2005;ЛОЖЬ;;Program block;ESD_001_5;;;30.06.2014;;;Sysdtlsmflda;Sysdtlsmflda_fp;
704;ESD_001_5_FLD0704;20-I-118: 20XZSO156;2000;;ЛОЖЬ;;Program block;ESD_001_5;;;15.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
752;ESD_001_5_FLD0752;I-XXX INPUT SIGNAL (22TT257B);2000;;ЛОЖЬ;;Program block;ESD_001_5;;;01.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
476;ESD_001_5_FLD0476;H2002 MOS GROUP;2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;12.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
16;ESD_001_5_FLD0016;COMMON SYSTEM FAULTS - SH.1;;;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
267;ESD_001_5_FLD0267;I-311 INPUT SIGNALS (21BE114);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;31.07.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
10;ESD_001_5_FLD0010;LEGEND 09;;;ЛОЖЬ;;Comment block;;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
478;ESD_001_5_FLD0478;H2002 MOS GROUP;2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;12.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
316;ESD_001_5_FLD0316;I-311 INPUT SIGNALS (21BE163);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
294;ESD_001_5_FLD0294;I-311 INPUT SIGNALS (21BE141);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
300;ESD_001_5_FLD0300;I-311 INPUT SIGNALS (21BE147);2000;H-2002;ЛОЖЬ;;Program block;ESD_001_5;;;19.02.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
