FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
1648;FGS_001_2_FLD1648;SDOL DIAG Sh9;;;ЛОЖЬ;;Program block;FGS_001_2;;;27.02.2013;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2490;FGS_001_2_FLD2490;I-Block;;;ЛОЖЬ;;Function block;FGS_001_2;;;01.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
288;FGS_001_2_FLD0288;2000#2 Fire detector 20YT430;;;ЛОЖЬ;;Program block;FGS_001_2;;;02.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
442;FGS_001_2_FLD0442;2000#3 Fire detector 20YT213;;;ЛОЖЬ;;Program block;FGS_001_2;;;03.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
512;FGS_001_2_FLD0512;2000#3 FDs voting-Sh4;;;ЛОЖЬ;;Program block;FGS_001_2;;;21.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
444;FGS_001_2_FLD0444;2000#3 Fire detector 20YT214;;;ЛОЖЬ;;Program block;FGS_001_2;;;03.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
508;FGS_001_2_FLD0508;2000#3 Fire detector 20YT246;;;ЛОЖЬ;;Program block;FGS_001_2;;;03.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
736;FGS_001_2_FLD0736;2000#4 Fire detector 20YT004;;;ЛОЖЬ;;Program block;FGS_001_2;;;03.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
9;FGS_001_2_FLD0009;Legend of Symbols (8);;;ЛОЖЬ;;Comment block;;;;17.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
778;FGS_001_2_FLD0778;2000#4 Fire detector 20YT031;;;ЛОЖЬ;;Program block;FGS_001_2;;;03.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
870;FGS_001_2_FLD0870;2000#4 DV 20XV489-Sh3;;;ЛОЖЬ;;Program block;FGS_001_2;;;29.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1420;FGS_001_2_FLD1420;5800#1 Common Alarm FD;;;ЛОЖЬ;;Program block;FGS_001_2;;;15.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2440;FGS_001_2_FLD2440;XooY voting;;;ЛОЖЬ;;Function block;FGS_001_2;;;10.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1732;FGS_001_2_FLD1732;H-2002-Ready to Reset;;;ЛОЖЬ;;Program block;FGS_001_2;;;20.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
894;FGS_001_2_FLD0894;2000#4 DV 20XV853-Sh3;;;ЛОЖЬ;;Program block;FGS_001_2;;;29.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
884;FGS_001_2_FLD0884;2000#4 DV 20XV516-Sh2;;;ЛОЖЬ;;Program block;FGS_001_2;;;29.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
