PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7
M;210_380_2;;;;;20HS503_RR;;ЛОЖЬ;ЛОЖЬ;;380;;;;;;;0;;;;3176;ЛОЖЬ;0;;;;;;;1=READY;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;210_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;210;;;;;;;;100 ms;10;;700;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XA911R;;FLD;;;C-2001;Yes;ИСТИНА;ЛОЖЬ;;1246;;;;;;;0;;;;185;ИСТИНА;44009;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;32.15;11;2;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;866;;;;;;;;;;;;;;;;
M;C1324_2_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1324;;;;;;;0;;;;4701;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C808_2_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;808;;;;;;;0;;;;3159;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C205_3;;;;;Compiler marker (352, 84);;ЛОЖЬ;ЛОЖЬ;;205;;;;;;;0;;;;6716;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;58XA077DR;;FLD;;;SCR1 OF ANALYSER HOUSE AH-20-1;Yes;ИСТИНА;ЛОЖЬ;;1516;;;;;;;0;;;;365;ИСТИНА;44010;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;32.17;5;6;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;958;;;;;;;;;;;;;;;;
M;C1112_1_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1112;;;;;;;0;;;;7808;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20HS488E_B0;;COM;;;Bit 0;No;ЛОЖЬ;ЛОЖЬ;;1128;;;;;;;0;;;;6141;ИСТИНА;45527;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;2518;;;;;;;;;;;;;;;;
M;928_1852_3;;;;;58XV084_FL_D;;ЛОЖЬ;ЛОЖЬ;;1852;;;;;;;0;;;;7617;ЛОЖЬ;0;;;;;;;0=ACTIVATED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C746_2_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;746;;;;;;;0;;;;8889;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C370_7;;;;;Compiler marker (256, 175);;ЛОЖЬ;ЛОЖЬ;;370;;;;;;;0;;;;9991;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XA484K;;COM;;;LP DV mech. act.-signal to DCS;No;ЛОЖЬ;ЛОЖЬ;;848;;;;;;;1;;;;6068;ИСТИНА;45402;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;2330;;;;;;;;;;;;;;;;
M;1000_1056_3;;;;;20HS866C;;ЛОЖЬ;ЛОЖЬ;;1056;;;;;;;0;;;;2820;ЛОЖЬ;0;;;;;;;1=ON;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;58PSH120_B1;;COM;;;Bit 1;No;ЛОЖЬ;ЛОЖЬ;;1030;;;;;;;0;;;;6124;ИСТИНА;45748;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;2456;;;;;;;;;;;;;;;;
M;2460_F;;;;;F&G Logic (0=cmdCLOSE);;ЛОЖЬ;ЛОЖЬ;;2460;;;;;;;0;;;;3652;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C246_1_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;246;;;;;;;0;;;;10555;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1824_6_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1824;;;;;;;0;;;;834;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;952_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;952;;;;;;;0;;;;3337;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C322_2_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;322;;;;;;;0;;;;10192;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;826_982_3;;;;;20HS483B_MOC_FL;;ЛОЖЬ;ЛОЖЬ;;982;;;;;;;0;;;;4633;ЛОЖЬ;0;;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20YT034_MOC;;COM;;;MO CONFIRM;No;ЛОЖЬ;ЛОЖЬ;;784;;;;;;;0;;;;1491;ИСТИНА;45196;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_2;1902;;;;;;;;;;;;;;;;
M;284_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;284;;;;;;;0;;;;375;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C276_1_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;276;;;;;;;0;;;;10391;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;922_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;922;;;;;;;0;;;;5133;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;936_6;;;;;;;ЛОЖЬ;ЛОЖЬ;;936;;;;;;;0;;;;7623;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20YT019_MOR;;COM;;;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;754;;;;;;;0;;;;11069;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;Input;EPKS_CCB;FGS_001_2;206;;;;;;;;;;;;;;;;
DO;FGS_001_2.20XA483B;;FSC;;;LP DV manually act.-FDAP-C,F lamp;Yes;ЛОЖЬ;ЛОЖЬ;;832;;;;;;;0;;;;4174;ЛОЖЬ;0;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;FGS_001_1;FGS_001_2;85;;;;;;;;
M;294_385_1;;;;;20YT433;;ЛОЖЬ;ЛОЖЬ;;385;;;;;;;0;;;;9383;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;914_920_1;;;;;58HS083A_FL;;ЛОЖЬ;ЛОЖЬ;;920;;;;;;;0;;;;7556;ЛОЖЬ;0;;;;;;;0=cmdOPEN;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;58HS086E_MOR;;COM;;;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;940;;;;;;;0;;;;11147;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;Input;EPKS_CCB;FGS_001_2;284;;;;;;;;;;;;;;;;
