PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8
DO;60LAHH103_FU;;COM;;H-6001;V-6002 (UNIT TOP);No;ИСТИНА;ЛОЖЬ;;1632;;;;;;;0;;;;512;ИСТИНА;29561;None;;;;;;1=FIRST;1=FIRST;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_551_1;1528
DO;MODE_OF_CTRL_VALVES_3;;COM;6000;;60XV047 60XV048 60XV049;No;ЛОЖЬ;ЛОЖЬ;;1235;;;;;;;0;;;;1316;ЛОЖЬ;0;None;;;;;;1=AUTO;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_551_1;1266
M;1081_6;;;;;;;ЛОЖЬ;ЛОЖЬ;;1081;;;;;;;0;;;;7048;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1460_1_3;;;6000;6000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1460;;;;;;;0;;;;6629;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;C723_1_J;;;6000;6000;Function block register;;ЛОЖЬ;ЛОЖЬ;;723;;Float;;;;;0;;;;2446;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;410_1475_3;;;6000;;ESD-Interlocks-6050;;ЛОЖЬ;ЛОЖЬ;;1475;;;;;;;0;;;;925;ЛОЖЬ;0;;;;;;;0=RETRACT;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;C1009_1_L;;;;;Function block register;;ЛОЖЬ;ЛОЖЬ;;1009;;Float;;;;;0;;;;7566;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2497_C;;;;;ESD COMMAND;;ЛОЖЬ;ЛОЖЬ;;2497;;;;;;;0;;;;39;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;60XY852;;MCC;6000;A_6000;C6001B ENCLOS FAN TRIP;Yes;ИСТИНА;ЛОЖЬ;;576;;;;;;;0;;;;315;ИСТИНА;28006;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;15.10;11;4;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_551_1;1347
R;C655_1_L;;;;;Function block register;;ЛОЖЬ;ЛОЖЬ;;655;;Float;;;;;0;;;;5962;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
