PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11;ComAllocationType12;Master12;Slave12;PLCAddress12;ComAllocationType13;Master13;Slave13;PLCAddress13;ComAllocationType14;Master14;Slave14;PLCAddress14;ComAllocationType15;Master15;Slave15;PLCAddress15;ComAllocationType16;Master16;Slave16;PLCAddress16;ComAllocationType17;Master17;Slave17;PLCAddress17;ComAllocationType18;Master18;Slave18;PLCAddress18;ComAllocationType19;Master19;Slave19;PLCAddress19;ComAllocationType20;Master20;Slave20;PLCAddress20;ComAllocationType21;Master21;Slave21;PLCAddress21;ComAllocationType22;Master22;Slave22;PLCAddress22;ComAllocationType23;Master23;Slave23;PLCAddress23;ComAllocationType24;Master24;Slave24;PLCAddress24;ComAllocationType25;Master25;Slave25;PLCAddress25;ComAllocationType26;Master26;Slave26;PLCAddress26;ComAllocationType27;Master27;Slave27;PLCAddress27;ComAllocationType28;Master28;Slave28;PLCAddress28
DI;51XL055_ON;;FSC;5100;A_5100;GROUP SHUTDOWN;No;ЛОЖЬ;ЛОЖЬ;;290;;;;;;;0;;;;2043;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;Input;ESD_001_1;ESD_511_1;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;43HS900B;;PNL;4300;A_43011;MOS RELEASE AREA 430-11;Yes;ЛОЖЬ;ЛОЖЬ;;45;;;;;;;;;;;57;ЛОЖЬ;0;None;;;;;;0=RELEASE;;;;;;;Undefined;491;3428;;01.03;7;2;1;Hold;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;1-TempHH_Alarm;;SYS;;;Temp high-high alarm;Yes;ЛОЖЬ;;;18;;;;;;;1;;;;2;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20XL078B_ON;;FSC;2000;A_2000;P-2005/S EMERG. SD;No;ЛОЖЬ;ЛОЖЬ;;222;;;;;;;0;;;;1940;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Input;ESD_001_1;ESD_001_5;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41XL265FB;;PNL;4100;A_4100;MOS ACT/REL AREA 4200;Yes;ЛОЖЬ;ЛОЖЬ;;97;;;;;;;0;;;;305;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;01.07;7;10;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;43XL450;;PNL;4300;A_43015;Pump group stop button;Yes;ЛОЖЬ;ЛОЖЬ;;210;;;;;;;0;;;;94;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;01.05;11;7;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;CB001_ESD1_F3;;COM;2000;A_2000;IO FAULT;No;ЛОЖЬ;ЛОЖЬ;;17;;;;;;;0;;;;103;ЛОЖЬ;0;None;;;;;;0=FAULT;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XL433A7;;PNL;;;VALVE 20XV433A OPEN;Yes;ЛОЖЬ;ЛОЖЬ;;230;;;;;;;0;;;;444;ЛОЖЬ;0;None;;;;;;1=LAMP ON;1=LAMP ON;;;;;;Undefined;;;;01.06;17;5;1;Appl;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_1;451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;20XL253B_ON;;FSC;2000;A_2000;P-2028/S EMERG. SD;No;ЛОЖЬ;ЛОЖЬ;;260;;;;;;;0;;;;2161;ЛОЖЬ;0;None;;;;;;1=LAMP ON;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Input;ESD_001_1;ESD_001_7;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;30HS703_REL;;FSC;3000;A_3000;ESD MOS REL AREA H-3001;No;ЛОЖЬ;ЛОЖЬ;;37;;;;;;;0;;;;541;ЛОЖЬ;0;None;;;;;;1=RELEASED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;ESD_001_1;ESD_301_1;9;;;;;;;;;;;;;;;;;;;;
