PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6
BO;51PI081_HH;;COM;5100;A_5100;HH TRIP SETPOINT;No;ЛОЖЬ;ЛОЖЬ;;428;;Float;;;;;0;;;;316;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;10311;;;;;;;;
M;C720_1_E;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;720;;;;;;;0;;;;2501;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;IB511_ESD1_RT1_B;;COM;5100;;Start Repair Timer CP1;No;ЛОЖЬ;ЛОЖЬ;;16;;Word;;;;;0;;;;24;;0;;;;;;;;;0;0;;;;-XXXXX.X;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;10344;;;;;;;;
DO;51TI905A_TF;;COM;5100;A_5100;TRANSM FAULT;No;ЛОЖЬ;ЛОЖЬ;;274;;;;;;;0;;;;152;ИСТИНА;26851;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;683;;;;;;;;
DO;51PI080_TF;;COM;5100;A_5100;TRANSM FAULT;No;ЛОЖЬ;ЛОЖЬ;;424;;;;;;;0;;;;389;ИСТИНА;26852;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;559;;;;;;;;
M;274_2;;;5100;;;;ЛОЖЬ;ЛОЖЬ;;274;;;;;;;0;;;;708;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;51TI917B2;;FLD;5100;;THRUST BEARING;Yes;ИСТИНА;ЛОЖЬ;;306;ИСТИНА;Float;4-20mA;0;100;°C;;;;;828;ЛОЖЬ;26749;;None;None;None;None;;;;;;;;;-XXXXX.X;3.76;21;;14.03;17;4;1;Top scale;;;;ЛОЖЬ;ИСТИНА;ЛОЖЬ;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;10395;;;;;;;;
M;856_866_7;;;5100;;CAPACITY 100%;;ЛОЖЬ;ЛОЖЬ;;866;;;;;;;0;;;;2912;ЛОЖЬ;0;;;;;;;1=ACTIVE;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2490_C;;;;;READY TO RESET/1=READY;;ЛОЖЬ;ЛОЖЬ;;2490;;;;;;;0;;;;1756;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;330_3;;;5100;;;;ЛОЖЬ;ЛОЖЬ;;330;;;;;;;0;;;;1374;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;51TI884D_1_L;;COM;5100;;L ALARM SETPOINT;No;ЛОЖЬ;ЛОЖЬ;;796;;Float;;;;;0;;;;828;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;10338;;;;;;;;
M;C574_3_G;;;5200;5200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;574;;;;;;;0;;;;3903;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;51LALL063A_CA;;COM;5100;;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;254;;;;;;;0;;;;3259;ЛОЖЬ;0;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;1336;;;;;;;;
M;834_2;;;5100;;;;ЛОЖЬ;ЛОЖЬ;;834;;;;;;;0;;;;684;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C376_1_F;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;376;;;;;;;0;;;;4127;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C348_3_G;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;348;;;;;;;0;;;;4190;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C844_3_F;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;844;;;;;;;0;;;;3501;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;51LI063;;FLD;5100;A_5100;OIL IN V-5161;Yes;ИСТИНА;ЛОЖЬ;;254;ИСТИНА;Float;4-20mA;0;100;%;;;;;256;ЛОЖЬ;27316;;None;None;None;None;;;;-25;-25;;;;-XXXXX.X;3.64;22;;14.06;7;14;1;Bottom scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;10081;;;;;;;;
T;370_3;;;5100;;;;ЛОЖЬ;ЛОЖЬ;;370;;;;;;;;100 ms;5;;2148;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;51TI834F_TF;;COM;5100;A_C5140;TRANSM FAULT;No;ЛОЖЬ;ЛОЖЬ;;738;;;;;;;0;;;;1370;ИСТИНА;26853;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;663;;;;;;;;
DI;51HS988_B1_OUT_P;;COM;5100;A_5100;CAP CTRL BIT 1;No;ЛОЖЬ;ИСТИНА;;856;;;;;;;0;;;;3044;ИСТИНА;26273;None;;;;;;1=TRUE;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;Input;CC_CCB_1;ESD_511_1;5;Output;EPKS_CCB;ESD_511_1;2012;;;;;;;;
M;720_746_1;;;5100;;51PAHH840A_I;;ЛОЖЬ;ЛОЖЬ;;746;;;;;;;0;;;;1105;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;51HS983_SO;;COM;5100;;START UP OVERRATE C-5140S-P2;No;ЛОЖЬ;ЛОЖЬ;;800;;;;;;;0;;;;38;ЛОЖЬ;0;None;;;;;;1=OVERRATE;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;1213;;;;;;;;
M;328_2;;;5100;;;;ЛОЖЬ;ЛОЖЬ;;328;;;;;;;0;;;;792;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C292_1_F;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;292;;;;;;;0;;;;4284;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;52LI013_LL;;COM;5200;A_5200;LL TRIP SETPOINT (%);No;ЛОЖЬ;ЛОЖЬ;;512;;Float;;;;;0;;;;620;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;10235;;;;;;;;
M;C742_1_G;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;742;;;;;;;0;;;;2477;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C440_2_F;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;440;;;;;;;0;;;;3179;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C834_1_F;;;5100;5100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;834;;;;;;;0;;;;3541;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;788_8;;;5100;;;;ЛОЖЬ;ЛОЖЬ;;788;;;;;;;0;;;;2012;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;51FI827B_TF;;COM;5100;A_C5140;TRANSM FAULT;No;ЛОЖЬ;ЛОЖЬ;;702;;;;;;;0;;;;1090;ИСТИНА;26854;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;425;;;;;;;;
BO;51TI995B_HH;;COM;5100;A_5100;HH TRIP SETPOINT (°C);No;ЛОЖЬ;ЛОЖЬ;;438;;Float;;;;;0;;;;596;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_511_1;10228;;;;;;;;
