PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9
M;C936_1_K;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;936;;;;;;;0;;;;1624;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;C454_1_M;;;4100;4100;Function block register;;ЛОЖЬ;ЛОЖЬ;;454;;Float;;;;;0;;;;418;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41BALL710_CA;;COM;4100;A_4100;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;420;;;;;;;0;;;;1085;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;454;;;;;;;;;;;;
M;927_2;;;4100;H-4101A;;;ЛОЖЬ;ЛОЖЬ;;927;;;;;;;0;;;;2692;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;538_3;;;4100;H-4101AB;;;ЛОЖЬ;ЛОЖЬ;;538;;;;;;;0;;;;1001;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C606_4_B;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;606;;;;;;;0;;;;2894;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;954_4;;;4100;;;;ЛОЖЬ;ЛОЖЬ;;954;;;;;;;0;;;;2125;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;240_262_1;;;4100;C-4103;41TAHH864B_I;;ЛОЖЬ;ЛОЖЬ;;262;;;;;;;0;;;;387;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C584_1;;;;;Compiler marker (232, 30);;ЛОЖЬ;ЛОЖЬ;;584;;;;;;;0;;;;6577;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1344_3_F;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1344;;;;;;;0;;;;6341;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;41HS200B;;COM;4100;P-4103/S;P4103 STAND-BY/P4103S ON DUTY;No;ИСТИНА;ИСТИНА;;694;;;;;;;0;;;;4488;ИСТИНА;22422;None;;;;;;1=P4103 AUTOST;;;;;;;Undefined;;;;;;;;Freeze;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Input;EPKS_CCB;ESD_411_1;35;;;;;;;;;;;;
DO;41XZLC211A_P;;COM;4100;;C-4104 SUCTION;No;ЛОЖЬ;ЛОЖЬ;;1114;;;;;;;0;;;;2436;ЛОЖЬ;0;None;;;;;;1=CLOSE;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;CC_CCB_1;ESD_411_1;38;;;;
BO;41PI707A_HH;;COM;4100;H-4101;HH TRIP SETPOINT (Pa);No;ЛОЖЬ;ЛОЖЬ;;348;;Float;;;;;0;;;;678;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;10325;;;;;;;;;;;;
AI;41TI715A;;FLD;4100;A_4100;TEMP GAS H4101A RAD SEC;Yes;ЛОЖЬ;ЛОЖЬ;;362;ИСТИНА;Float;4-20mA;0;1000;°C;;;;;292;ЛОЖЬ;0;;None;None;None;None;;;;-250;-250;;;;-XXXXX.X;3.76;21;;11.05;5;6;1;Top scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;10165;;;;;;;;;;;;
M;C937_1_L;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;937;;;;;;;0;;;;1493;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;644_654_1;;;4100;C-4104;COMMON_TRIP3_I;;ЛОЖЬ;ЛОЖЬ;;654;;;;;;;0;;;;1760;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C682_1_F;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;682;;;;;;;0;;;;5875;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C610_2_G;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;610;;;;;;;0;;;;2576;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;41SE765_MOR;;COM;4100;A_C4103;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;292;;;;;;;0;;;;4546;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Input;EPKS_CCB;ESD_411_1;119;;;;;;;;;;;;
M;286_183_1;;;4100;;41XS_990;;ЛОЖЬ;ЛОЖЬ;;183;;;;;;;0;;;;3654;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C937_1_I;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;937;;;;;;;0;;;;1473;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41XZSC045_MOC;;COM;4100;A_4100;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;325;;;;;;;0;;;;1912;ИСТИНА;21393;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1317;;;;;;;;;;;;
M;600_1114_6;;;4100;C-4104;C-4104 SUCTION;;ЛОЖЬ;ЛОЖЬ;;1114;;;;;;;0;;;;3590;ЛОЖЬ;0;;;;;;;1=OPEN;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41XY113B_C;;FLD;4101;H-4101B;SAFETY VALVE. 41PSV113B. H-4101B;Yes;ИСТИНА;ЛОЖЬ;;1348;;;;;;;0;;;;75;ИСТИНА;22289;None;;;;;;1=CLOSE;1=CLOSE;;;;;;Undefined;;;;11.07;5;4;1;Appl;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;2054;;;;;;;;;;;;
M;516_1;;;4100;H-4101AB;;;ЛОЖЬ;ЛОЖЬ;;516;;;;;;;0;;;;3493;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C420_2_E;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;420;;;;;;;0;;;;3023;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;762_1;;;4100;;;;ЛОЖЬ;ИСТИНА;;762;;;;;;;;100 ms;5;;984;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;936_5;;;4100;;;;ЛОЖЬ;ЛОЖЬ;;936;;;;;;;0;;;;2073;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C257_2_E;;;4100;4100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;257;;;;;;;0;;;;2517;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;87_2328_1;;;;;MOS_EN AREA C-4103;;ЛОЖЬ;ЛОЖЬ;;2328;;;;;;;0;;;;3402;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;412_149_3;;;4100;H-4101;41BI702;;ЛОЖЬ;ЛОЖЬ;;149;;;;;;;0;;;;4336;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41XL734A;;COM;4100;A_4100;FUEL GAS LINE T.T.;No;ИСТИНА;ЛОЖЬ;;578;;;;;;;0;;;;4081;ИСТИНА;22337;None;;;;;;1=IN PROGRESS;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_1;1694;;;;;;;;;;;;
