PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4
M;170_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;170;;;;;;;0;;;;1324;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
AI;10GT532;;FLD;;;Between Р-1008, Р-1008S;Yes;ИСТИНА;ЛОЖЬ;;372;ЛОЖЬ;Long;0-20mA;0;3276;;;;;;376;ЛОЖЬ;52053;;None;None;None;None;;;;0;0;;;;-XXXXX.X;0;4095;;36.04;5;10;1;Bottom scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;11381
M;148_200_1;;;;;1000_01_ALARM;;ЛОЖЬ;ЛОЖЬ;;200;;;;;;;0;;;;2200;ЛОЖЬ;0;;;;;;;PULSE=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;720_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;720;;;;;;;0;;;;2309;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
T;376_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;376;;;;;;;;100 ms;10;;896;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;
M;100_112_2;;;;;10HS370;;ЛОЖЬ;ЛОЖЬ;;112;;;;;;;0;;;;1086;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;806_810_5;;;;;10XA151_FL_1;;ЛОЖЬ;ЛОЖЬ;;810;;;;;;;0;;;;2364;ЛОЖЬ;0;;;;;;;PULSE=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C2404_1;;;;;Compiler marker (224, 96);;ЛОЖЬ;ЛОЖЬ;;2404;;;;;;;0;;;;2436;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C376_1_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;376;;;;;;;0;;;;2862;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C500_5;;;;;Compiler marker (256, 115);;ЛОЖЬ;ЛОЖЬ;;500;;;;;;;0;;;;2694;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;10YT008_B2;;COM;;;Bit 2;No;ЛОЖЬ;ЛОЖЬ;;158;;;;;;;0;;;;1002;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;961
DI;36-ClockSrcFault1;;SYS;;;Clock source 1 fault;Yes;ЛОЖЬ;;;23;;;;;;;;;;;14;ЛОЖЬ;0;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;631
DI;10HS1003_MOR;;COM;;;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;114;;;;;;;0;;;;163;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Input;EPKS_CCB;FGS_101_1;52
DO;10YT016_B2;;COM;;;Bit 2;No;ЛОЖЬ;ЛОЖЬ;;178;;;;;;;0;;;;1042;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;1001
DI;36-ExtComFaultCC1;;SYS;;;Ext com fault Com ch 1;Yes;ЛОЖЬ;;;20;;;;;;;;;;;6;ЛОЖЬ;0;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;617
M;154_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;154;;;;;;;0;;;;1244;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DI;10GT535_MOR;;COM;;;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;378;;;;;;;0;;;;150;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;Input;EPKS_CCB;FGS_101_1;39
M;374_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;374;;;;;;;0;;;;1571;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
T;716_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;716;;;;;;;;1 s;0;;156;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed ON memorize with variable timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;2490_B;;;;;Reset signal (1=Reset);;ЛОЖЬ;ЛОЖЬ;;2490;;;;;;;0;;;;1084;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;10XY563B;;FLD;;;Near to V-1001;Yes;ИСТИНА;ЛОЖЬ;;538;;;;;;;0;;;;139;ИСТИНА;52183;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;36.07;5;4;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;576
DO;10XY567A;;FLD;;;At the gates, opposite from P-1002S;Yes;ИСТИНА;ЛОЖЬ;;508;;;;;;;0;;;;205;ИСТИНА;52208;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;36.07;13;6;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;610
M;C118_2_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;118;;;;;;;0;;;;3460;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C726_1_M;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;726;;;;;;;0;;;;2515;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C716_3_J;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;716;;;;;;;0;;;;2536;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C152_4_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;152;;;;;;;0;;;;3353;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
