ID;PROP_ID;COMP_ID;LiquidViscosityA;LiquidViscosityB;LiquidViscosityC;LiquidViscosityD;LiquidViscosityTmin;LiquidViscosityTmax
21237;7081;21240;-12321;-12321;-12321;-12321;-12321;-12321
21238;8107;21241;-12321;-12321;-12321;-12321;-12321;-12321
21239;7804;21242;-12321;-12321;-12321;-12321;-12321;-12321
21240;8958;21243;-12321;-12321;-12321;-12321;-12321;-12321
21241;6681;21244;-44.100933;5880.4185;8.0618002E-2;-6.8000001E-5;288.23077;396.33234
21242;18478;21245;-12321;-12321;-12321;-12321;-12321;-12321
21243;7914;21246;-12321;-12321;-12321;-12321;-12321;-12321
21244;7808;21247;-12321;-12321;-12321;-12321;-12321;-12321
21245;15942;21248;-12321;-12321;-12321;-12321;-12321;-12321
21246;9246;21249;-12321;-12321;-12321;-12321;-12321;-12321
21247;8919;21250;-12321;-12321;-12321;-12321;-12321;-12321
21248;9615;21251;-71.063599;9723.3848;0.14921901;-1.2300001E-4;284.26901;439.72299
21249;10635;21252;-59.125942;8405.3887;0.115743;-9.3000002E-5;311.604;418.98001
21250;9727;21253;-12321;-12321;-12321;-12321;-12321;-12321
21251;8763;21254;-12321;-12321;-12321;-12321;-12321;-12321
21252;13498;21255;-114.60835;15336.123;0.26432601;-0.000225;315.58301;369.70901
21253;12477;21256;-12321;-12321;-12321;-12321;-12321;-12321
21254;10911;21257;-12321;-12321;-12321;-12321;-12321;-12321
21255;7846;21258;-12321;-12321;-12321;-12321;-12321;-12321
21256;12246;21259;-12321;-12321;-12321;-12321;-12321;-12321
21257;5895;21260;-12321;-12321;-12321;-12321;-12321;-12321
21258;10789;21261;-12321;-12321;-12321;-12321;-12321;-12321
21259;8694;21262;-11.487806;1323.7411;0.001957;-0.000002;237.82001;492.97049
21260;7357;21263;-12321;-12321;-12321;-12321;-12321;-12321
21261;19331;21264;-12321;-12321;-12321;-12321;-12321;-12321
21262;12894;21265;-12321;-12321;-12321;-12321;-12321;-12321
21263;13047;21266;-12321;-12321;-12321;-12321;-12321;-12321
21264;13182;21267;-12321;-12321;-12321;-12321;-12321;-12321
21265;19328;21268;-12321;-12321;-12321;-12321;-12321;-12321
21266;12893;21269;-12321;-12321;-12321;-12321;-12321;-12321
21267;13848;21270;-12321;-12321;-12321;-12321;-12321;-12321
21268;13722;21271;-12321;-12321;-12321;-12321;-12321;-12321
21269;13940;21272;-12321;-12321;-12321;-12321;-12321;-12321
21270;19315;21273;-12321;-12321;-12321;-12321;-12321;-12321
21271;12938;21274;-12321;-12321;-12321;-12321;-12321;-12321
21272;13021;21275;-12321;-12321;-12321;-12321;-12321;-12321
21273;19325;21276;-12321;-12321;-12321;-12321;-12321;-12321
21274;6770;21277;-12321;-12321;-12321;-12321;-12321;-12321
21275;14003;21278;-12321;-12321;-12321;-12321;-12321;-12321
21276;13374;21279;-12321;-12321;-12321;-12321;-12321;-12321
21277;12742;21280;-12321;-12321;-12321;-12321;-12321;-12321
