ID;PROP_ID;COMP_ID;SurfaceTensionA;SurfaceTensionB;SurfaceTensionN;SurfaceTensionTmin;SurfaceTensionTmax
35957;18848;35960;-12321;-12321;-12321;-12321;-12321
35958;18846;35961;-12321;-12321;-12321;-12321;-12321
35959;19638;35962;-12321;-12321;-12321;-12321;-12321
35960;9207;35963;-12321;-12321;-12321;-12321;-12321
35961;19650;35964;-12321;-12321;-12321;-12321;-12321
35962;18847;35965;-12321;-12321;-12321;-12321;-12321
35963;19592;35966;-12321;-12321;-12321;-12321;-12321
35964;7810;35967;-12321;-12321;-12321;-12321;-12321
35965;19159;35968;-12321;-12321;-12321;-12321;-12321
35966;19670;35969;-12321;-12321;-12321;-12321;-12321
35967;19653;35970;-12321;-12321;-12321;-12321;-12321
35968;9206;35971;-12321;-12321;-12321;-12321;-12321
35969;19636;35972;-12321;-12321;-12321;-12321;-12321
35970;19681;35973;-12321;-12321;-12321;-12321;-12321
35971;11883;35974;-12321;-12321;-12321;-12321;-12321
35972;18876;35975;-12321;-12321;-12321;-12321;-12321
35973;12569;35976;-12321;-12321;-12321;-12321;-12321
35974;6319;35977;-12321;-12321;-12321;-12321;-12321
35975;18197;35978;-12321;-12321;-12321;-12321;-12321
35976;18223;35979;-12321;-12321;-12321;-12321;-12321
35977;18213;35980;-12321;-12321;-12321;-12321;-12321
35978;18221;35981;-12321;-12321;-12321;-12321;-12321
35979;18219;35982;-12321;-12321;-12321;-12321;-12321
35980;18217;35983;-12321;-12321;-12321;-12321;-12321
35981;18215;35984;-12321;-12321;-12321;-12321;-12321
35982;18211;35985;-12321;-12321;-12321;-12321;-12321
35983;18209;35986;-12321;-12321;-12321;-12321;-12321
35984;18207;35987;-12321;-12321;-12321;-12321;-12321
35985;18203;35988;-12321;-12321;-12321;-12321;-12321
35986;18201;35989;-12321;-12321;-12321;-12321;-12321
35987;18199;35990;-12321;-12321;-12321;-12321;-12321
35988;18205;35991;-12321;-12321;-12321;-12321;-12321
35989;18981;35992;-12321;-12321;-12321;-12321;-12321
35990;11728;35993;-12321;-12321;-12321;-12321;-12321
35991;13654;35994;-12321;-12321;-12321;-12321;-12321
35992;18394;35995;-12321;-12321;-12321;-12321;-12321
35993;6973;35996;-12321;-12321;-12321;-12321;-12321
35994;13239;35997;-12321;-12321;-12321;-12321;-12321
35995;7951;35998;-12321;-12321;-12321;-12321;-12321
35996;6117;35999;-12321;-12321;-12321;-12321;-12321
35997;17396;36000;-12321;-12321;-12321;-12321;-12321
35998;9821;36001;-12321;-12321;-12321;-12321;-12321
35999;6520;36002;-12321;-12321;-12321;-12321;-12321
36000;19080;36003;-12321;-12321;-12321;-12321;-12321
36001;5690;36004;-12321;-12321;-12321;-12321;-12321
36002;6619;36005;-12321;-12321;-12321;-12321;-12321
36003;19257;36006;-12321;-12321;-12321;-12321;-12321
36004;19759;36007;-12321;-12321;-12321;-12321;-12321
36005;19186;36008;-12321;-12321;-12321;-12321;-12321
36006;19753;36009;-12321;-12321;-12321;-12321;-12321
36007;9300;36010;-12321;-12321;-12321;-12321;-12321
36008;19527;36011;-12321;-12321;-12321;-12321;-12321
36009;19085;36012;-12321;-12321;-12321;-12321;-12321
36010;18893;36013;-12321;-12321;-12321;-12321;-12321
36011;19763;36014;-12321;-12321;-12321;-12321;-12321
36012;19462;36015;-12321;-12321;-12321;-12321;-12321
36013;18994;36016;-12321;-12321;-12321;-12321;-12321
36014;19113;36017;-12321;-12321;-12321;-12321;-12321
36015;19509;36018;-12321;-12321;-12321;-12321;-12321
36016;18732;36019;-12321;-12321;-12321;-12321;-12321
36017;19291;36020;-12321;-12321;-12321;-12321;-12321
36018;18736;36021;-12321;-12321;-12321;-12321;-12321
36019;18872;36022;-12321;-12321;-12321;-12321;-12321
36020;19510;36023;-12321;-12321;-12321;-12321;-12321
36021;19028;36024;-12321;-12321;-12321;-12321;-12321
36022;19754;36025;-12321;-12321;-12321;-12321;-12321
36023;6621;36026;-12321;-12321;-12321;-12321;-12321
36024;18911;36027;-12321;-12321;-12321;-12321;-12321
36025;19757;36028;-12321;-12321;-12321;-12321;-12321
36026;18734;36029;-12321;-12321;-12321;-12321;-12321
36027;19288;36030;-12321;-12321;-12321;-12321;-12321
36028;19287;36031;-12321;-12321;-12321;-12321;-12321
36029;19755;36032;-12321;-12321;-12321;-12321;-12321
36030;18735;36033;-12321;-12321;-12321;-12321;-12321
36031;18745;36034;-12321;-12321;-12321;-12321;-12321
36032;19187;36035;-12321;-12321;-12321;-12321;-12321
36033;18731;36036;-12321;-12321;-12321;-12321;-12321
36034;19367;36037;-12321;-12321;-12321;-12321;-12321
36035;19055;36038;-12321;-12321;-12321;-12321;-12321
36036;18733;36039;-12321;-12321;-12321;-12321;-12321
36037;19524;36040;-12321;-12321;-12321;-12321;-12321
36038;18922;36041;-12321;-12321;-12321;-12321;-12321
36039;9155;36042;-12321;-12321;-12321;-12321;-12321
36040;18730;36043;-12321;-12321;-12321;-12321;-12321
36041;19181;36044;-12321;-12321;-12321;-12321;-12321
36042;19760;36045;-12321;-12321;-12321;-12321;-12321
36043;18697;36046;-12321;-12321;-12321;-12321;-12321
36044;19003;36047;-12321;-12321;-12321;-12321;-12321
36045;18914;36048;-12321;-12321;-12321;-12321;-12321
36046;19289;36049;-12321;-12321;-12321;-12321;-12321
36047;19761;36050;-12321;-12321;-12321;-12321;-12321
36048;19290;36051;-12321;-12321;-12321;-12321;-12321
36049;19112;36052;-12321;-12321;-12321;-12321;-12321
36050;19522;36053;-12321;-12321;-12321;-12321;-12321
36051;19000;36054;-12321;-12321;-12321;-12321;-12321
36052;19064;36055;-12321;-12321;-12321;-12321;-12321
36053;19523;36056;-12321;-12321;-12321;-12321;-12321
36054;18744;36057;-12321;-12321;-12321;-12321;-12321
36055;19214;36058;-12321;-12321;-12321;-12321;-12321
36056;19756;36059;-12321;-12321;-12321;-12321;-12321
36057;19528;36060;-12321;-12321;-12321;-12321;-12321
36058;19764;36061;-12321;-12321;-12321;-12321;-12321
36059;19111;36062;-12321;-12321;-12321;-12321;-12321
36060;19110;36063;-12321;-12321;-12321;-12321;-12321
36061;19758;36064;-12321;-12321;-12321;-12321;-12321
36062;19001;36065;-12321;-12321;-12321;-12321;-12321
36063;19520;36066;-12321;-12321;-12321;-12321;-12321
36064;19514;36067;-12321;-12321;-12321;-12321;-12321
36065;19521;36068;-12321;-12321;-12321;-12321;-12321
36066;18746;36069;-12321;-12321;-12321;-12321;-12321
36067;19511;36070;-12321;-12321;-12321;-12321;-12321
36068;19182;36071;-12321;-12321;-12321;-12321;-12321
36069;19762;36072;-12321;-12321;-12321;-12321;-12321
36070;19525;36073;-12321;-12321;-12321;-12321;-12321
36071;19508;36074;-12321;-12321;-12321;-12321;-12321
36072;19444;36075;-12321;-12321;-12321;-12321;-12321
36073;19518;36076;-12321;-12321;-12321;-12321;-12321
36074;18873;36077;-12321;-12321;-12321;-12321;-12321
36075;19519;36078;-12321;-12321;-12321;-12321;-12321
36076;19513;36079;-12321;-12321;-12321;-12321;-12321
36077;19430;36080;-12321;-12321;-12321;-12321;-12321
36078;13787;36081;-12321;-12321;-12321;-12321;-12321
36079;19526;36082;-12321;-12321;-12321;-12321;-12321
36080;18869;36083;-12321;-12321;-12321;-12321;-12321
36081;19765;36084;-12321;-12321;-12321;-12321;-12321
36082;18728;36085;-12321;-12321;-12321;-12321;-12321
36083;18805;36086;-12321;-12321;-12321;-12321;-12321
36084;18915;36087;-12321;-12321;-12321;-12321;-12321
36085;19063;36088;-12321;-12321;-12321;-12321;-12321
36086;19107;36089;-12321;-12321;-12321;-12321;-12321
36087;18729;36090;-12321;-12321;-12321;-12321;-12321
36088;9299;36091;-12321;-12321;-12321;-12321;-12321
36089;6536;36092;-12321;-12321;-12321;-12321;-12321
36090;6521;36093;-12321;-12321;-12321;-12321;-12321
36091;13277;36094;-12321;-12321;-12321;-12321;-12321
36092;6847;36095;-12321;-12321;-12321;-12321;-12321
36093;6862;36096;-12321;-12321;-12321;-12321;-12321
36094;6865;36097;-12321;-12321;-12321;-12321;-12321
36095;9778;36098;-12321;-12321;-12321;-12321;-12321
36096;9779;36099;-12321;-12321;-12321;-12321;-12321
36097;5686;36100;6.4124003E-2;834;0.78860599;401.5;834
36098;5954;36101;-12321;-12321;-12321;-12321;-12321
36099;6915;36102;-12321;-12321;-12321;-12321;-12321
36100;5859;36103;-12321;-12321;-12321;-12321;-12321
36101;14537;36104;-12321;-12321;-12321;-12321;-12321
36102;5971;36105;-12321;-12321;-12321;-12321;-12321
36103;6022;36106;-12321;-12321;-12321;-12321;-12321
36104;7522;36107;-12321;-12321;-12321;-12321;-12321
36105;14793;36108;-12321;-12321;-12321;-12321;-12321
36106;14789;36109;-12321;-12321;-12321;-12321;-12321
36107;14792;36110;-12321;-12321;-12321;-12321;-12321
36108;14791;36111;-12321;-12321;-12321;-12321;-12321
36109;14790;36112;-12321;-12321;-12321;-12321;-12321
36110;11441;36113;-12321;-12321;-12321;-12321;-12321
36111;12693;36114;-12321;-12321;-12321;-12321;-12321
36112;6354;36115;-12321;-12321;-12321;-12321;-12321
36113;14803;36116;-12321;-12321;-12321;-12321;-12321
36114;11050;36117;-12321;-12321;-12321;-12321;-12321
36115;7184;36118;-12321;-12321;-12321;-12321;-12321
36116;7912;36119;-12321;-12321;-12321;-12321;-12321
36117;13968;36120;-12321;-12321;-12321;-12321;-12321
36118;8954;36121;-12321;-12321;-12321;-12321;-12321
36119;6078;36122;-12321;-12321;-12321;-12321;-12321
36120;12470;36123;-12321;-12321;-12321;-12321;-12321
36121;11800;36124;-12321;-12321;-12321;-12321;-12321
36122;13148;36125;-12321;-12321;-12321;-12321;-12321
36123;13536;36126;-12321;-12321;-12321;-12321;-12321
36124;11903;36127;-12321;-12321;-12321;-12321;-12321
36125;13310;36128;-12321;-12321;-12321;-12321;-12321
36126;11262;36129;-12321;-12321;-12321;-12321;-12321
36127;10106;36130;-12321;-12321;-12321;-12321;-12321
36128;12015;36131;-12321;-12321;-12321;-12321;-12321
36129;8920;36132;-12321;-12321;-12321;-12321;-12321
36130;11988;36133;-12321;-12321;-12321;-12321;-12321
36131;11803;36134;-12321;-12321;-12321;-12321;-12321
36132;11265;36135;-12321;-12321;-12321;-12321;-12321
36133;13650;36136;-12321;-12321;-12321;-12321;-12321
36134;11264;36137;-12321;-12321;-12321;-12321;-12321
36135;10099;36138;-12321;-12321;-12321;-12321;-12321
36136;10092;36139;-12321;-12321;-12321;-12321;-12321
36137;8151;36140;-12321;-12321;-12321;-12321;-12321
36138;9130;36141;-12321;-12321;-12321;-12321;-12321
36139;10741;36142;-12321;-12321;-12321;-12321;-12321
36140;9018;36143;-12321;-12321;-12321;-12321;-12321
36141;10108;36144;-12321;-12321;-12321;-12321;-12321
36142;10097;36145;-12321;-12321;-12321;-12321;-12321
