ID;PROP_ID;COMP_ID;Antoine5LogA;Antoine5LogB;Antoine5LogC;Antoine5LogD;Antoine5LogE;Antoine5LogTmin;Antoine5LogTmax
35424;5338;35427;32.579571;-3372.948;-8.6327982;0;0.000002;210.14999;580
35425;5238;35428;993.69537;-43994;-373.57001;0.22452;-5.0999999E-5;397;930
35426;5242;35429;-27.584196;-2988.3999;13.896;-0.007619;0.000002;430.14999;590.15002
35427;5240;35430;-14.612697;-967.01001;10.083;-0.014935;9.9999997E-6;154.55;227.35001
35428;5241;35431;-32.019997;-1596;15.901;-0.01169;0.000004;307.95001;441.14999
35429;5239;35432;61.918304;-5660.1001;-20.127001;0.015021;-4.9999999E-6;347.14999;464.64999
35430;5580;35433;11.3284;-4557.8101;0;0;0;278.14999;488.89001
35431;5263;35434;48.928604;-1394.6;-18.981001;0.022497;0;88.480003;269.70001
35432;5243;35435;-194.914;1016.3;64.300697;-0.011694;0.000001;1685;5159
35433;5264;35436;-379.39609;6547.2998;131.5;-0.035774;3.0000001E-6;1883;2503.2
35434;5250;35437;27.575203;-2391.1001;-7.3965001;0;3.0000001E-6;204.3;507
35435;5251;35438;-533.92297;4455.7598;276.46301;-0.750745;7.0899999E-4;186.35001;259
35436;4986;35439;22.807102;-16026;-4.5239;0.000405;0;1234;6410
35437;4987;35440;34.540703;-12320;-8.7445002;1.7509999E-3;0;1185.15;1837.15
35438;4988;35441;68.236;-13908;-19.966;4.3500001E-3;0;1093.15;1779.15
35439;5226;35442;4.1483202;-1553.9301;2.5318601;-0.011014;0.000008;197.67;430.75
35440;5228;35443;574.80902;-18036.301;-228.416;0.194085;-6.0999999E-5;289.95001;490.85001
35441;20009;35444;-12321;-12321;-12321;-12321;-12321;-12321;-12321
35442;5163;35445;6.4077029;-5424.8999;0.15358;-0.000202;0;370.97;2573
35443;19815;35446;-49.152496;-1934;17;0;-0.000001;596;1830
35444;5164;35447;17.541304;-10501;-2.8636999;0;0;1020;1720
35445;19816;35448;-49.152496;-1934;17;0;-0.000001;596;1830
35446;5166;35449;21.556602;-11358;-4.2034998;3.4699999E-4;0;1073.9;1738.1
35447;5165;35450;-3.105397;-8201.9004;3.8989999;-2.3459999E-3;0;836.84998;1769.1
35448;5167;35451;10.799303;-11663;-0.96083999;0.00013;0;1269;2060
35449;19998;35452;-12321;-12321;-12321;-12321;-12321;-12321;-12321
35450;5169;35453;-49.152496;-1934;17;0;-0.000001;596;1830
35451;5168;35454;68.765602;-14137;-20.041;4.7340002E-3;0;1040.15;1577.15
35452;19999;35455;-12321;-12321;-12321;-12321;-12321;-12321;-12321
35453;5170;35456;273.44199;-30900;-94.0214;3.7276998E-2;-6.0000002E-6;1173.1;1625
35454;1488;35457;534.31519;-32568;-190.66;9.1835998E-2;-1.8000001E-5;370.85001;959
35455;662;35458;31.877604;-2183.6001;-10.142;8.7350002E-3;-3.0000001E-6;276.14999;499.73999
35456;5470;35459;8.6696997;-4657.2002;0;0;0;402;796
35457;5278;35460;61.217403;-4121.2002;-21.351;0.016385;-4.9999999E-6;331.45001;477.85001
35458;5280;35461;145.6011;-5584.7002;-57.243999;5.8634002E-2;-2.4999999E-5;250.45;386.14999
35459;5281;35462;6.973103;-974.73999;-0.27434999;4.6000001E-4;0;133.14999;220.85001
35460;5282;35463;-6.8600969;-2442.3999;5.1094999;-2.7910001E-3;0.000001;429.14999;621.15002
35461;5279;35464;430.0932;-22551;-158.74001;9.2347004E-2;-0.000021;589.15002;896.15002
35462;4326;35465;241.4272;-14607;-86.083;4.5019001E-2;-9.9999997E-6;450;799
35463;5234;35466;64.849007;-2289.5;-25.586;0.034766;-1.8000001E-5;177.87;440.35001
35464;5510;35467;10.061561;-5368.5757;0;0;0;293.14999;666.41998
35465;5283;35468;-112.1048;-2896.2;43.785;-0.02056;3.0000001E-6;582;1630
35466;5284;35469;2848.0696;-403030;-872.52002;0.13051;-0.000008;2341.1499;4315.77
35467;1927;35470;106.7472;-5252.1001;-39.327999;2.9936999E-2;-9.0000003E-6;242.53999;648
35468;1927;35471;106.7472;-5252.1001;-39.327999;2.9936999E-2;-9.0000003E-6;242.53999;648
35469;399;35472;226.117;-13454;-80.692001;4.3334998E-2;-9.0000003E-6;461.14999;806
35470;78;35473;39.249905;-4322.7998;-11.786;6.3180001E-3;-0.000001;393;811
35471;75;35474;136.991;-8108.1001;-48.959999;0.029454;-7.0000001E-6;331.29999;770
35472;5375;35475;-10.448967;-4246.9443;8.4728708;-0.010622;3.0000001E-6;459.14999;1086
35473;569;35476;102.6593;-6818.7998;-35.856998;2.0717001E-2;-4.9999999E-6;300.75;849
35474;5220;35477;85.917404;-7889.3999;-27.433001;7.5710001E-3;0;388.35999;1313
35475;5226;35478;4.1483202;-1553.9301;2.5318601;-0.011014;0.000008;197.67;430.75
35476;5222;35479;9.6816301;-1033.62;-1.13011;0;0;223.14999;318.69
35477;5229;35480;161.7523;-6294.3999;-63.327;6.1400998E-2;-2.4999999E-5;265.75;411.14999
35478;5221;35481;339.29889;-6840.5;-152.22;0.26997;-1.9399999E-4;160.85001;223.95
35479;5228;35482;574.80902;-18036.301;-228.416;0.194085;-6.0999999E-5;289.95001;490.85001
35480;5482;35483;85.917404;-7889.3999;-27.433001;7.5710001E-3;0;388.35999;1313
35481;5486;35484;85.917404;-7889.3999;-27.433001;7.5710001E-3;0;388.35999;1313
35482;5483;35485;85.917404;-7889.3999;-27.433001;7.5710001E-3;0;388.35999;1313
35483;5487;35486;85.917404;-7889.3999;-27.433001;7.5710001E-3;0;388.35999;1313
35484;5484;35487;85.917404;-7889.3999;-27.433001;7.5710001E-3;0;388.35999;1313
35485;5488;35488;85.917404;-7889.3999;-27.433001;7.5710001E-3;0;388.35999;1313
35486;5485;35489;85.917404;-7889.3999;-27.433001;7.5710001E-3;0;388.35999;1313
35487;5104;35490;24.0749;-4235.8198;-6.2273898;4.3939999E-3;-0.000001;273.14999;613.15002
35488;5381;35491;-38;-4193.7002;3.25196;-1.1230001E-3;0.000001;283.14999;603.15002
35489;5382;35492;-38;-4193.7002;3.25196;-1.1230001E-3;0.000001;283.14999;603.15002
35490;5383;35493;-38;-4193.7002;3.25196;-1.1230001E-3;0.000001;283.14999;603.15002
35491;5225;35494;237.388;-5218.1001;-104.31;0.17358001;-0.000118;174.42;229.05
35492;5227;35495;5.0277028;-2040.7;2.2795999;-0.010358;6.0000002E-6;222;545
35493;5575;35496;6.8379202;-2368.3301;0;0;0;313.14999;673.15002
35494;5576;35497;7.2304902;-2529.6699;0;0;0;353.14999;533.15002
35495;5577;35498;6.8176198;-2176.3201;0;0;0;333.14999;553.15002
35496;5285;35499;89.585701;-53107;-24.076;2.9549999E-3;0;2511;5565
