ID;PROP_ID;COMP_ID;LiquidThermalConductivityA;LiquidThermalConductivityB;LiquidThermalConductivityC;LiquidThermalConductivityTmin;LiquidThermalConductivityTmax
20929;14855;20932;-12321;-12321;-12321;-12321;-12321
20930;13837;20933;-12321;-12321;-12321;-12321;-12321
20931;19061;20934;-12321;-12321;-12321;-12321;-12321
20932;17306;20935;-12321;-12321;-12321;-12321;-12321
20933;7268;20936;6.4612001E-2;0.000016;0;350;630
20934;12291;20937;-1.488971;0.78131998;822;223.25;688.25
20935;7944;20938;0.16309001;-0.000016;0;200;480
20936;11041;20939;-12321;-12321;-12321;-12321;-12321
20937;10299;20940;0.118795;-9.9999997E-6;0;200;490
20938;18173;20941;0.161874;-2.9000001E-5;0;200;490
20939;16702;20942;0.149829;-0.000031;0;200;500
20940;18171;20943;0.173862;-3.4000001E-5;0;200;500
20941;12197;20944;0.17476401;-3.5000001E-5;0;200;520
20942;12900;20945;0.186364;2.4000001E-5;0;471;800
20943;12902;20946;0.192673;0.000013;0;461.25;773.75
20944;11174;20947;0.15931401;-0.000033;0;304.75;651.25
20945;13018;20948;-12321;-12321;-12321;-12321;-12321
20946;11889;20949;-12321;-12321;-12321;-12321;-12321
20947;18190;20950;-1.440623;0.81439799;805;223;683
20948;11034;20951;0.17461701;-0.000015;0;200;470
20949;18169;20952;0.168731;-9.9999997E-6;0;200;430
20950;18188;20953;0.180209;-5.0999999E-5;0;200;650
20951;14386;20954;0.171571;-4.8000002E-5;0;200;670
20952;18175;20955;0.19168399;-4.7000001E-5;0;200;600
20953;18291;20956;0.191599;-4.5000001E-5;0;200;670
20954;6995;20957;-1.446848;0.85551703;825;270.5;552.5
20955;7752;20958;0.116046;2.4999999E-5;0;270;520
20956;8679;20959;0.13542899;-0.000017;0;200;510
20957;7911;20960;-1.527216;0.78167802;838;223.75;698.75
20958;13176;20961;0.139937;-0.000027;0;200;520
20959;18234;20962;0.163868;-3.5000001E-5;0;200;550
20960;18263;20963;-1.579911;0.79168898;791;222.75;677.75
20961;12943;20964;0.23623499;-5.9999998E-5;0;200;600
20962;18231;20965;0.18208;-4.6000001E-5;0;200;640
20963;7248;20966;0.155718;-3.8999999E-5;0;200;660
20964;12003;20967;0.168282;-3.5000001E-5;0;200;560
20965;18303;20968;0.16333;-3.4000001E-5;0;200;540
20966;8090;20969;0.21284799;-2.6999999E-4;0;200;560
20967;18289;20970;0.187851;-4.8999998E-5;0;200;667.25
20968;18602;20971;0.170432;-4.6000001E-5;0;200;650
20969;19217;20972;0.15916;-1.9999999E-5;0;200;450
20970;19372;20973;0.160046;-0.000013;0;200;480
20971;18605;20974;0.17107099;-4.7000001E-5;0;200;650
20972;19404;20975;0.16003101;-0.000033;0;200;520
20973;6936;20976;0.17407501;-0.000031;0;200;520
20974;10716;20977;0.167374;-4.0999999E-5;0;200;530
20975;10885;20978;0.177481;-2.3000001E-5;0;314;670
20976;16501;20979;0.15785;-3.8999999E-5;0;200;600
20977;6175;20980;0.19937199;-2.5499999E-4;0;200;610
20978;18227;20981;0.161579;-3.9999999E-5;0;200;570
20979;13340;20982;-12321;-12321;-12321;-12321;-12321
20980;11669;20983;-12321;-12321;-12321;-12321;-12321
20981;10651;20984;-12321;-12321;-12321;-12321;-12321
20982;11891;20985;0.168532;-3.7999998E-5;0;210;550
20983;8092;20986;0.205569;-2.5499999E-4;0;200;550
20984;19408;20987;0.160046;-0.000013;0;200;480
20985;12002;20988;0.166868;-3.7999998E-5;0;200;530
20986;7836;20989;0.200865;-0.000245;0;200;530
20987;9585;20990;0.185234;-2.4999999E-5;0;220;530
20988;11548;20991;0.178774;-4.7000001E-5;0;200;610
20989;6139;20992;0.19909;-1.9999999E-5;0;270;650
20990;5689;20993;0.224003;-0.000224;0;482.75;810.25
20991;15065;20994;-12321;-12321;-12321;-12321;-12321
20992;15060;20995;-12321;-12321;-12321;-12321;-12321
20993;15063;20996;-12321;-12321;-12321;-12321;-12321
20994;15062;20997;-12321;-12321;-12321;-12321;-12321
20995;13291;20998;0.203181;-5.1999999E-5;0;200;620
20996;11915;20999;0.169422;-0.000042;0;200;550
20997;15061;21000;-12321;-12321;-12321;-12321;-12321
20998;18260;21001;0.165502;-4.6000001E-5;0;200;680
20999;18257;21002;0.178207;-4.5000001E-5;0;200;660
21000;11101;21003;0.166721;-3.7000002E-5;0;200;530
