ID;PROP_ID;COMP_ID;Poly5IdealGasCpA;Poly5IdealGasCpB;Poly5IdealGasCpC;Poly5IdealGasCpD;Poly5IdealGasCpE;Poly5IdealGasCpTmin;Poly5IdealGasCpTmax
20765;11102;20767;-74.370605;1.094926;-8.6099998E-4;0;0;200;980
20766;7128;20768;-44.271694;0.97910398;-6.2599999E-4;0;0;200;980
20767;6883;20769;-42.522121;1.021091;-6.2900002E-4;0;0;200;980
20768;8250;20770;-88.209862;1.622298;-0.001865;0.000001;0;200;980
20769;11416;20771;-51.733635;0.95310903;-3.6999999E-4;0;0;200;980
20770;12966;20772;-26.862247;0.886675;-3.4599999E-4;0;0;200;980
20771;10265;20773;-10.142505;1.3567801;-1.3229999E-3;0.000001;0;200;980
20772;18131;20774;8.9056625;0.57992798;-1.7299999E-4;0;0;200;980
20773;19163;20775;-11.325619;0.78561503;-1.7699999E-4;0;0;200;980
20774;18133;20776;1.419279;0.890908;-0.000371;0;0;200;980
20775;18129;20777;8.9056625;0.57992798;-1.7299999E-4;0;0;200;980
20776;12965;20778;-26.862247;0.886675;-3.4599999E-4;0;0;200;980
20777;13119;20779;-10.142505;1.3567801;-1.3229999E-3;0.000001;0;200;980
20778;14418;20780;-8.1510191;0.859025;-1.8800001E-4;0;0;200;980
20779;14417;20781;-8.1510191;0.859025;-1.8800001E-4;0;0;200;980
20780;11819;20782;-16.551138;0.75524998;-0.000256;0;0;200;980
20781;19267;20783;-12.578897;0.73284698;-0.000212;0;0;200;980
20782;14419;20784;-8.1510191;0.859025;-1.8800001E-4;0;0;200;980
20783;18132;20785;1.419279;0.890908;-0.000371;0;0;200;980
20784;18130;20786;8.9056625;0.57992798;-1.7299999E-4;0;0;200;980
20785;12843;20787;36.138138;0.91873503;-9.6000003E-5;0;0;200;980
20786;19162;20788;-11.325619;0.78561503;-1.7699999E-4;0;0;200;980
20787;10814;20789;-57.760647;1.003176;-6.3000002E-4;0;0;200;980
20788;5880;20790;-17.307152;0.87838501;-2.8199999E-4;0;0;200;980
20789;12830;20791;-57.760647;1.003176;-6.3000002E-4;0;0;200;980
20790;17111;20792;-16.893322;0.99964601;-3.3099999E-4;0;0;200;980
20791;11394;20793;-51.733635;0.95310903;-3.6999999E-4;0;0;200;980
20792;18134;20794;30.11961;0.62174302;-1.3299999E-4;0;0;200;980
20793;18135;20795;30.11961;0.62174302;-1.3299999E-4;0;0;200;980
20794;17112;20796;-16.893322;0.99964601;-3.3099999E-4;0;0;200;980
20795;10155;20797;-51.733635;0.95310903;-3.6999999E-4;0;0;200;980
20796;13091;20798;-52.017868;1.276786;-6.0899998E-4;0;0;200;980
20797;16986;20799;-40.298706;1.238515;-7.1400002E-4;0;0;200;980
20798;17246;20800;-30.784512;1.202897;-6.7899999E-4;0;0;200;980
20799;12403;20801;-29.135506;0.97219801;-0.000398;0;0;200;980
20800;5819;20802;27.242426;0.67731899;-0.000455;0;0;200;980
20801;17281;20803;6.4735951;0.585958;-0.000224;0;0;200;980
20802;16722;20804;-10.147131;0.85196799;-0.000405;0;0;200;980
20803;12701;20805;29.965727;0.62191302;-9.2000002E-5;0;0;200;980
20804;17221;20806;20.267462;0.71190101;-0.000178;0;0;200;980
20805;11287;20807;20.886076;0.67385;-0.000179;0;0;200;980
20806;11291;20808;21.683023;0.57804298;-0.000124;0;0;200;980
20807;5950;20809;54.769794;0.61091501;-0.000344;0;0;200;980
20808;12278;20810;45.175323;0.61399698;0.000008;0;0;200;980
20809;16934;20811;-41.89336;1.430135;-8.2399999E-4;0;0;200;980
20810;8230;20812;12.10565;0.60821098;-0.000153;0;0;200;980
20811;5508;20813;-12321;-12321;-12321;-12321;-12321;-12321;-12321
20812;2654;20814;-53.98;0.89484;-6.3800003E-4;0;0;273;1000
20813;6121;20815;-1.205054;0.59264201;-0.000317;0;0;200;980
20814;16979;20816;2.462446;0.659114;-6.8000001E-5;0;0;200;980
20815;17416;20817;-25.504866;1.124966;-5.9399998E-4;0;0;200;980
20816;17578;20818;-31.133286;1.242048;-6.0000003E-4;0;0;200;980
20817;16886;20819;23.838169;0.61922503;-0.000405;0;0;200;980
20818;16887;20820;32.55661;0.67940301;-0.000424;0;0;200;980
20819;16884;20821;34.947521;0.391983;-0.00026;0;0;200;980
20820;16885;20822;33.35358;0.58359599;-3.6999999E-4;0;0;200;980
20821;7528;20823;-15.288277;0.65172398;-0.000394;0;0;200;980
20822;5818;20824;2.4319639;0.89003301;-4.7200001E-4;0;0;200;980
20823;14449;20825;-11.758915;0.85779399;-2.7300001E-4;0;0;200;980
20824;13625;20826;-46.363293;2.5562711;-0.001448;0;0;200;980
20825;10784;20827;-48.36425;2.5602779;-0.001366;0;0;200;980
20826;10702;20828;-30.221714;0.78755599;-0.000589;0;0;200;980
20827;17286;20829;20.63711;0.66296601;-1.5000001E-4;0;0;200;980
20828;16912;20830;-41.096062;1.334325;-7.6899998E-4;0;0;200;980
20829;13894;20831;-34.352123;1.080071;-4.5399999E-4;0;0;200;980
20830;8637;20832;-57.711967;0.96035999;-6.2000001E-4;0;0;200;980
20831;10445;20833;-35.203461;1.214957;-0.00068;0;0;200;980
