ID;PROP_ID;COMP_ID;RackettLiquidDensityA;RackettLiquidDensityB;RackettLiquidDensityN;RackettLiquidDensityTc;RackettLiquidDensityTmin;RackettLiquidDensityTmax
30079;17747;30082;276.81995;0.25556299;0.28560001;802;110;802
30080;13710;30083;250.11082;0.257099;0.28432599;620;110;620
30081;13203;30084;254.6452;0.236495;0.27350399;696;110;696
30082;10365;30085;270.04892;0.245095;0.277275;669;110;669
30083;15892;30086;246.7914;0.25350499;0.28104401;618;110;618
30084;10244;30087;265.0809;0.248524;0.27575701;653;110;653
30085;16455;30088;261.82648;0.24967;0.27905399;662;110;662
30086;6173;30089;263.41464;0.24733201;0.280146;671;110;671
30087;6174;30090;261.4921;0.249146;0.278375;662;110;662
30088;17711;30091;277.76898;0.25891101;0.28626999;643;110;643
30089;17522;30092;272.86368;0.261632;0.28824401;636;110;636
30090;10477;30093;265.21826;0.24390399;0.27559501;710;110;710
30091;15596;30094;261.18506;0.243457;0.27212;674;110;674
30092;17290;30095;262.85999;0.24790201;0.27549499;755;110;755
30093;3416;30096;244.92;0.26238;0.28571001;647.48999;194.5;647.48999
30094;3025;30097;305.57001;0.24234;0.28571001;767.47998;300.45001;767.47998
30095;8504;30098;280.28534;0.232566;0.26372999;708;110;708
30096;10655;30099;235.85992;0.24738599;0.27700901;683;225.2;683
30097;17507;30100;257.62665;0.25185001;0.28124401;901;110;901
30098;17749;30101;263.96417;0.238693;0.27301899;708;110;708
30099;5501;30102;-12321;-12321;-12321;-12321;-12321;-12321
30100;6385;30103;240.3936;0.23639201;0.267299;738;110;738
30101;17427;30104;259.24734;0.238134;0.26881501;735;110;735
30102;17425;30105;260.7984;0.237378;0.268886;721;110;721
30103;17424;30106;267.09213;0.237757;0.26943201;719;110;719
30104;11222;30107;234.18668;0.245755;0.27573299;694;211.2;694
30105;16610;30108;271.90836;0.262622;0.289592;701;110;701
30106;11700;30109;255.29088;0.237091;0.277132;664;110;664
30107;13892;30110;268.94669;0.24840701;0.28350899;677;110;677
30108;1983;30111;274.47;0.26762;0.28571001;597.91998;159.44;597.91998
30109;1650;30112;272.06;0.27309999;0.28571001;557.41998;127.87;557.41998
30110;1792;30113;321.22;0.28957999;0.28571001;641.35999;254.74001;641.35999
30111;1311;30114;325.10999;0.28544;0.28571001;607.56;246.99001;607.56
30112;1985;30115;274.47;0.26762;0.28571001;597.91998;159.44;597.91998
30113;1652;30116;272.06;0.27309999;0.28571001;557.41998;127.87;557.41998
30114;1794;30117;321.22;0.28957999;0.28571001;641.35999;254.74001;641.35999
30115;1987;30118;274.47;0.26762;0.28571001;597.91998;159.44;597.91998
30116;17039;30119;264.55545;0.25868499;0.284969;610;110;610
30117;1984;30120;274.47;0.26762;0.28571001;597.91998;159.44;597.91998
30118;1651;30121;272.06;0.27309999;0.28571001;557.41998;127.87;557.41998
30119;1793;30122;321.22;0.28957999;0.28571001;641.35999;254.74001;641.35999
30120;1312;30123;325.10999;0.28544;0.28571001;607.56;246.99001;607.56
30121;1986;30124;274.47;0.26762;0.28571001;597.91998;159.44;597.91998
30122;1653;30125;272.06;0.27309999;0.28571001;557.41998;127.87;557.41998
30123;1795;30126;321.22;0.28957999;0.28571001;641.35999;254.74001;641.35999
30124;1988;30127;274.47;0.26762;0.28571001;597.91998;159.44;597.91998
30125;11840;30128;323.60486;0.244752;0.2784;694;110;694
