ID;PROP_ID;COMP_ID;EnthalpyOfVapourizationA;EnthalpyOfVapourizationB;EnthalpyOfVapourizationN;EnthalpyOfVapourizationTmin;EnthalpyOfVapourizationTmax
37914;10247;37917;55953.629;623;0.387465;200;623
37915;8579;37918;55953.629;623;0.387465;200;623
37916;18314;37919;71560.078;683;0.41655001;200;683
37917;18316;37920;75267.664;715;0.39731401;200;715
37918;18318;37921;121972.71;705;0.44524801;200;705
37919;18320;37922;154632.55;704;0.46052501;200;704
37920;18595;37923;55953.629;623;0.387465;200;623
37921;11902;37924;61916.969;670;0.355773;200;670
37922;8800;37925;63318.277;654;0.39487299;200;654
37923;9678;37926;80179.445;958;0.35034201;200;958
37924;9819;37927;-12321;-12321;-12321;-12321;-12321
37925;1212;37928;83529;806;0.37799999;342.35999;806
37926;1183;37929;67116;771;0.38;271.85001;771
37927;18395;37930;165642.91;746;0.460363;200;746
37928;6303;37931;-12321;-12321;-12321;-12321;-12321
37929;15305;37932;51663.574;448;0.52320701;200;448
37930;15686;37933;69045.508;616;0.388542;200;616
37931;8519;37934;73015.539;580;0.41126999;200;580
37932;1885;37935;104683;710.29999;0.38;347.14999;710.29999
37933;9035;37936;109516.84;768;0.449099;200;768
37934;15300;37937;-12321;-12321;-12321;-12321;-12321
37935;13799;37938;300762.47;1194;0.520428;200;1194
37936;10666;37939;-12321;-12321;-12321;-12321;-12321
37937;7318;37940;151168.03;969;0.45523599;327.14001;969
37938;14864;37941;88560.555;870;0.378851;200;870
37939;10370;37942;74900.789;690;0.426992;200;690
37940;18766;37943;-12321;-12321;-12321;-12321;-12321
37941;18718;37944;46692.344;604;0.363249;200;604
37942;19278;37945;41343.109;491;0.38090199;200;491
37943;18887;37946;39677.063;492;0.372399;200;492
37944;12722;37947;-12321;-12321;-12321;-12321;-12321
37945;6796;37948;-12321;-12321;-12321;-12321;-12321
37946;6817;37949;43979.359;494;0.38538799;200;494
37947;12480;37950;39116.012;489;0.35942501;200;489
37948;13000;37951;51592.086;537;0.405247;298.14438;537
37949;7650;37952;-12321;-12321;-12321;-12321;-12321
37950;12490;37953;64945.93;607;0.385766;200;607
37951;12837;37954;-12321;-12321;-12321;-12321;-12321
37952;10701;37955;-12321;-12321;-12321;-12321;-12321
37953;19438;37956;78415.25;709;0.39944601;200;709
37954;19724;37957;73084.406;687;0.39813599;200;687
37955;18901;37958;67958.945;666;0.39700699;200;666
37956;18902;37959;73084.406;687;0.39813599;200;687
37957;18900;37960;72907.148;688;0.39767301;200;688
37958;18136;37961;50413.453;550;0.38926601;200;550
37959;10034;37962;128146.17;808;0.46516201;373.20001;808
37960;9798;37963;-12321;-12321;-12321;-12321;-12321
37961;7646;37964;140356.52;640;0.60419101;200;640
