PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11;ComAllocationType12;Master12;Slave12;PLCAddress12;ComAllocationType13;Master13;Slave13;PLCAddress13;ComAllocationType14;Master14;Slave14;PLCAddress14;ComAllocationType15;Master15;Slave15;PLCAddress15;ComAllocationType16;Master16;Slave16;PLCAddress16
M;286_172_2;;;2000;P-2003S;22TI934_MO;;ЛОЖЬ;ЛОЖЬ;;172;;;;;;;0;;;;1416;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XY183_P;;COM;2000;;P-2008 EMERGENCY SD;No;ИСТИНА;ЛОЖЬ;;950;;;;;;;0;;;;1424;ИСТИНА;13485;None;;;;;;1=TRIP;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_7;4502;Output;CC_CCB_5;ESD_001_7;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;22TI141N_TF;;COM;2200;A_2000;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;374;;;;;;;0;;;;948;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_7;1368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;58SIS025_RR;;COM;5800;A_5800;20-I-025 READY TO RESET;No;ЛОЖЬ;ЛОЖЬ;;1130;;;;;;;0;;;;5049;ЛОЖЬ;0;None;;;;;;1=READY;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_7;1621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;596_8;;;4100;;;;ЛОЖЬ;ЛОЖЬ;;596;;Float;;;;;0;;;;60;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1170_3_G;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1170;;;;;;;0;;;;6989;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C442_4_D;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;442;;;;;;;0;;;;7102;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;726_1;;;2000;;;;ЛОЖЬ;ЛОЖЬ;;726;;;;;;;0;;;;4430;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;VM 21.06/1/17;;SYS;;;;Yes;ЛОЖЬ;;;22;ИСТИНА;Float;0-5V (VM);0;100;;;;;;64;ЛОЖЬ;0;;None;None;None;None;;;;;;;;;-XXXXX.X;2.5;3.9;;21.06;1;17;1;Scan;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;CB001_ESD7_D1;;COM;;S_B001;FORCE ENABLE;No;ЛОЖЬ;ЛОЖЬ;;17;;;;;;;0;;;;204;ИСТИНА;11870;None;;;;;;0=ENABLE;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_7;742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XY248_P;;COM;2000;;P-2019 EMERGENCY SD;No;ИСТИНА;ЛОЖЬ;;968;;;;;;;0;;;;2204;ИСТИНА;12285;None;;;;;;1=ACTIVE;1=ACTIVE;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;CC_CCB_4;ESD_001_7;40;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_7;455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;380_11;;;2000;P-2007S;;;ЛОЖЬ;ЛОЖЬ;;380;;;;;;;0;;;;7877;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C666_2_G;;;2100;2100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;666;;;;;;;0;;;;1279;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;498_1;;;2000;P-2007/2;;;ЛОЖЬ;ЛОЖЬ;;498;;;;;;;0;;;;5515;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;443_6;;;2000;P-2007/2;;;ЛОЖЬ;ЛОЖЬ;;443;;;;;;;;100 ms;5;;2396;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;22TI141B2;;FLD;2200;A_P20_1;PUMP THRUST BEAR - DE;Yes;ИСТИНА;ЛОЖЬ;;363;ИСТИНА;Float;4-20mA;-40;200;°C;;;;;700;ЛОЖЬ;13177;;None;None;None;None;;;;-100;-100;;;;-XXXXX.X;3.76;21;;21.07;7;6;1;Top scale;;;;ЛОЖЬ;ИСТИНА;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_7;10532;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;21XA313A;;COM;2100;A_2000;MAIN T.T. FAIL;No;ЛОЖЬ;ЛОЖЬ;;720;;;;;;;0;;;;1853;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_7;1068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;380_1381_2;;;2000;;22VAHH112Y_I;;ЛОЖЬ;ЛОЖЬ;;1381;;;;;;;0;;;;7463;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;22VAH115X;;BNS;2200;A_2000;"MAIN MTR  VIBR.- CE ""X""";Yes;ИСТИНА;ЛОЖЬ;;384;;;;;;;;;;;186;ИСТИНА;11872;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;21.04;5;3;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_7;1751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20XZSO130_SO;;COM;2000;P-2007S;P-2007S SUCTION VALVE;No;ЛОЖЬ;ЛОЖЬ;;408;;;;;;;0;;;;3444;ИСТИНА;11877;None;;;;;;0=OVERRIDE;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_7;847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;450_9;;;2000;P-2007/2;;;ЛОЖЬ;ЛОЖЬ;;450;;;;;;;0;;;;6644;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C946_1_C;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;946;;;;;;;0;;;;4189;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;21HSO308;;COM;;;OPEN 21XV308;No;ЛОЖЬ;ИСТИНА;;723;;;;;;;0;;;;6299;ЛОЖЬ;0;None;;;;;;1=OPEN;1=OPEN;;;;;;Undefined;;;;;;;;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;View only;;;;;;;;;;;;;;;;;;;;;;;;;Input;EPKS_CCB;ESD_001_7;381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1108_5_C;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1108;;;;;;;0;;;;1287;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;646_750_3;;;2100;;21BALL333_I;;ЛОЖЬ;ЛОЖЬ;;750;;;;;;;0;;;;1995;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;21XZSO301;;FLD;2100;A_2000;STACK DAMPER;Yes;ИСТИНА;ЛОЖЬ;;682;;;;;;;;;;;313;ИСТИНА;11873;None;;;;;;0=OPEN;;;;;;;Undefined;491;3428;;21.05;5;2;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_7;1855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C443_3_F;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;443;;;;;;;0;;;;7093;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;642_750_3;;;2100;;21BALL329_I;;ЛОЖЬ;ЛОЖЬ;;750;;;;;;;0;;;;1991;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1290_2_G;;;2200;2200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1290;;;;;;;0;;;;6812;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;254_7;;;2000;P-2003;;;ЛОЖЬ;ЛОЖЬ;;254;;;;;;;0;;;;6712;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1196_2_E;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1196;;;;;;;0;;;;3033;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;21BALL325;;COM;2100;A_2000;BURNER N° 25;No;ЛОЖЬ;ЛОЖЬ;;638;;;;;;;0;;;;1626;ИСТИНА;11874;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_7;904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;689_1350_2;;;2000;;20FALL109_I;;ЛОЖЬ;ЛОЖЬ;;1350;;;;;;;0;;;;4709;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;22TI141D_MOC;;COM;2200;A_2000;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;365;;;;;;;0;;;;935;ИСТИНА;11875;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_7;1349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1208_958_2;;;2000;;22TAHH179B2_I;;ЛОЖЬ;ЛОЖЬ;;958;;;;;;;0;;;;2662;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C251_3_E;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;251;;;;;;;0;;;;7320;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;22T121DD2_FU;;COM;2000;;P-2007 SUCTION VALVE;No;ЛОЖЬ;ЛОЖЬ;;1393;;;;;;;0;;;;3446;ИСТИНА;12251;None;;;;;;1=FIRST;1=FIRST;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_7;2446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;990_1266_1;;;;;20XY196_CMD;;ЛОЖЬ;ЛОЖЬ;;1266;;;;;;;0;;;;844;ЛОЖЬ;0;;;;;;;0=TRIP;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;58TAHH033_CA;;COM;5800;A_5800;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;1120;;;;;;;0;;;;6803;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_7;2356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;492_462_6;;;2000;P-2007/2;P-2007 RUNNING;;ЛОЖЬ;ЛОЖЬ;;462;;;;;;;0;;;;1448;ЛОЖЬ;0;;;;;;;1=RUNNING;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1391_2_K;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1391;;;;;;;0;;;;7552;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;1230_3;;;2000;;;;ЛОЖЬ;ЛОЖЬ;;1230;;;;;;;;100 ms;5;;864;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1240_1400_1;;;2000;;20SIS011_I;;ЛОЖЬ;ЛОЖЬ;;1400;;;;;;;0;;;;7651;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1202_980_2;;;2000;;22TAHH197A2_I;;ЛОЖЬ;ЛОЖЬ;;980;;;;;;;0;;;;2647;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1396_1_M;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1396;;;;;;;0;;;;3711;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;990_958_2;;;2000;;20-I-134_I;;ЛОЖЬ;ЛОЖЬ;;958;;;;;;;0;;;;2241;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;CB001_ESD7_YEAR;;COM;;;YEAR;No;ЛОЖЬ;ЛОЖЬ;;15;;Word;;;;;0;;;;68;;0;;None;None;None;None;;;;;;;;;-XXXXX.X;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_7;10263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;716_3;;;2000;;;;ЛОЖЬ;ЛОЖЬ;;716;;;;;;;0;;;;1476;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C251_4_C;;;2000;2000;Function block marker;;ЛОЖЬ;ЛОЖЬ;;251;;;;;;;0;;;;7323;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1008_3;;;2000;;;;ЛОЖЬ;ЛОЖЬ;;1008;;;;;;;0;;;;2213;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
