PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5
T;340_2;;;9100;;;;ЛОЖЬ;ЛОЖЬ;;340;;;;;;;;100 ms;5;;468;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;C1518_1_M;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1518;;;;;;;0;;;;953;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
AI;91TI108;;FLD;901-10;A_C90111;NH3 AT OUTLET C9011001SX;Yes;ИСТИНА;ЛОЖЬ;;302;ИСТИНА;Float;4-20mA;0;100;°C;;;;;104;ЛОЖЬ;33520;;None;None;None;None;;;;-25;-25;;;;-XXXXX.X;3.76;21;;18.04;3;10;1;Top scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;10101
DO;91XY051_ESD;;COM;901-10;A_90110;91XY051 ESD TRIP;No;ЛОЖЬ;ЛОЖЬ;;366;;;;;;;0;;;;1055;ЛОЖЬ;0;None;;;;;;0=TRIP;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;617
M;1506_6;;;;C9011001;;;ЛОЖЬ;ЛОЖЬ;;1506;;;;;;;0;;;;64;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DO;91LAH751;;COM;901-10;A_C90111;HI ALARM;No;ЛОЖЬ;ЛОЖЬ;;500;;;;;;;0;;;;1383;ЛОЖЬ;0;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;998
M;636_5;;;9100;;;;ЛОЖЬ;ЛОЖЬ;;636;;;;;;;0;;;;617;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
BO;91PDI753_H;;COM;901-10;A_C90111;HI ALARM SETPOINT;No;ЛОЖЬ;ЛОЖЬ;;502;;Float;;;;;0;;;;716;;0;;None;None;None;None;;;;;;;;;-XXXXX.X;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;10240
T;328_5;;;9100;;;;ЛОЖЬ;ЛОЖЬ;;328;;;;;;;;100 ms;5;;664;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;2460_B;;;;;1=CMD_CLOSE;;ЛОЖЬ;ЛОЖЬ;;2460;;;;;;;0;;;;145;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;91PALL081;;COM;;;LIQUID AMM TO V9011001B;No;ИСТИНА;ЛОЖЬ;;317;;;;;;;0;;;;1435;ИСТИНА;33680;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;559
C;626_1;;;901-10;;;;ЛОЖЬ;ЛОЖЬ;;626;;;;;;;0;;;1;2;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
AI;91PI770;;FLD;901-10;A_C90111;C-9011001AX ДАВЛЕНИЕ МАСЛА В КАРТЕРЕ;Yes;ИСТИНА;ЛОЖЬ;;510;ИСТИНА;Float;4-20mA;0;100;kPA;;;;;420;ЛОЖЬ;33709;;None;None;None;None;;;;;;;;;-XXXXX.X;3.64;22;;18.03;11;4;1;Bottom scale;;;;ЛОЖЬ;ИСТИНА;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;10225
DO;91XA801;;COM;901-10;A_C90111;C9011001SX DEACT ALR;No;ИСТИНА;ЛОЖЬ;;624;;;;;;;0;;;;2043;ИСТИНА;33681;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;676
DO;91PALL824;;COM;901-10;A_C90111;C9011001SX CARTER OIL;No;ИСТИНА;ЛОЖЬ;;610;;;;;;;0;;;;2017;ИСТИНА;33682;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;574
DO;91FALL028B_CA;;COM;901-10;A_90110;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;346;;;;;;;0;;;;1631;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;421
M;C438_4_D;;;9100;9100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;438;;;;;;;0;;;;1818;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1506_1_I;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1506;;;;;;;0;;;;979;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DO;91TI804_MOC;;COM;901-10;A_C90111;MO CONFIRMED;No;ИСТИНА;ЛОЖЬ;;614;;;;;;;0;;;;2025;ИСТИНА;33684;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;661
M;C318_1_F;;;9100;9100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;318;;;;;;;0;;;;1461;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;318_350_2;;;901-10;;91PAHH084_I;;ЛОЖЬ;ЛОЖЬ;;350;;;;;;;0;;;;1337;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C314_2_B;;;9100;9100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;314;;;;;;;0;;;;2073;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;91LALL047_CA;;COM;;;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;335;;;;;;;0;;;;1100;ЛОЖЬ;0;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;888
DO;91TAHH804A_P;;COM;901-10;A_C90111;INDICATION LIGHT;No;ИСТИНА;ЛОЖЬ;;614;;;;;;;0;;;;547;ЛОЖЬ;33987;None;;;;;;1=ACTIVE;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;CC_UCB_1;ESD_912_1;91;;;;
M;635_182_1;;;;;91VSHH801;;ЛОЖЬ;ЛОЖЬ;;182;;;;;;;0;;;;1762;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
T;635_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;635;;;;;;;;100 ms;10;;140;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;C325_1_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;325;;;;;;;0;;;;2702;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
