PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7
M;C1010_1_H;;;4200;4200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1010;;;;;;;0;;;;3430;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;348_1;;;4200;C-4202;;;ЛОЖЬ;ЛОЖЬ;;348;;;;;;;;100 ms;30;;572;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Pulse with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C814_1_F;;;5800;5800;Function block marker;;ЛОЖЬ;ЛОЖЬ;;814;;;;;;;0;;;;810;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;352_358_1;;;4200;;42HS816_P;;ЛОЖЬ;ЛОЖЬ;;358;;;;;;;0;;;;3677;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;42TI841E_MOR;;COM;4200;A_C4202;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;308;;;;;;;0;;;;1624;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Input;EPKS_CCB;ESD_411_2;66;;;;
T;306_5;;;4200;C-4202;;;ЛОЖЬ;ЛОЖЬ;;306;;;;;;;;100 ms;5;;816;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;42VAH808Y;;BNS;4200;A_C4201;COMPR NDE BEAR VIBR;Yes;ИСТИНА;ЛОЖЬ;;268;;;;;;;;;;;51;ИСТИНА;22603;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;12.03;7;12;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;958;;;;
DO;58LALL903_CA;;COM;5800;A_5800;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;806;;;;;;;0;;;;3651;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;762;;;;
M;394_3;;;5800;;;;ЛОЖЬ;ЛОЖЬ;;394;;;;;;;0;;;;637;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2462_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;2462;;;;;;;0;;;;247;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C145_5_B;;;4200;4200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;145;;;;;;;0;;;;686;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;328_1;;;4200;;;;ЛОЖЬ;ЛОЖЬ;;328;;;;;;;;100 ms;10;;52;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C314_4_F;;;4200;4200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;314;;;;;;;0;;;;2389;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;951_952_1;;;4200;C-4201;;;ЛОЖЬ;ЛОЖЬ;;952;;;;;;;0;;;;2191;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;240_3;;;4200;C-4201;;;ЛОЖЬ;ЛОЖЬ;;240;;;;;;;;100 ms;10;;620;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;42FALL812B;;COM;4200;A_C4202;C-4202 FLOW COOL W  CYL1;No;ЛОЖЬ;ЛОЖЬ;;305;;;;;;;0;;;;3566;ИСТИНА;22971;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;430;;;;
DO;58TI711_TF;;COM;5800;;TRANSM. FAIL;No;ИСТИНА;ЛОЖЬ;;680;;;;;;;0;;;;4409;ИСТИНА;23382;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;838;;;;
DO;58HS201D1;;COM;5800;A_5800;ESD MOS EN AREA 5800-3/4;No;ЛОЖЬ;ЛОЖЬ;;85;;;;;;;0;;;;702;ИСТИНА;23287;None;;;;;;1=ENABLED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;918;;;;
M;C310_3_F;;;4200;4200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;310;;;;;;;0;;;;2023;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C99_2;;;4200;4200;Compiler marker (352, 66);;ЛОЖЬ;ЛОЖЬ;;99;;;;;;;0;;;;1554;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;12-ClockSrcFault1;;SYS;;;Clock source 1 fault;Yes;ЛОЖЬ;;;12;;;;;;;;;;;14;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;42HS014B_A;;COM;4200;C-4201;;No;ЛОЖЬ;ЛОЖЬ;;886;;;;;;;0;;;;2539;ЛОЖЬ;0;None;;;;;;0=TRIP;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;1266;;;;
DO;58TI743_TF;;COM;5800;A_5800;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;552;;;;;;;0;;;;3955;ИСТИНА;23406;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;862;;;;
M;1006_3;;;4200;;;;ЛОЖЬ;ЛОЖЬ;;1006;;;;;;;0;;;;4519;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;362_1;;;4200;;;;ЛОЖЬ;ЛОЖЬ;;362;;;;;;;;100 ms;10;;536;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2495_E;;;;;0=ALARM;;ЛОЖЬ;ЛОЖЬ;;2495;;;;;;;0;;;;103;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1008_6;;;4200;;;;ЛОЖЬ;ЛОЖЬ;;1008;;;;;;;0;;;;3695;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;42PDI922;;FLD;4200;C-4201;NITROGEN SUPPLY PRESSURE;Yes;ИСТИНА;ЛОЖЬ;;259;ИСТИНА;Float;4-20mA;0;0.5;MPa;;;;;24;ЛОЖЬ;22817;;None;None;None;None;;;;-0.125;-0.125;;;;-XXXXX.X;3.64;22;;12.04;1;7;1;Bottom scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;;;;;Output;CC_CCB_2;ESD_411_2;40;;;;;Output;EPKS_CCB;ESD_411_2;10071;;;;
T;252_2;;;4200;C-4201;;;ЛОЖЬ;ЛОЖЬ;;252;;;;;;;;100 ms;5;;284;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C313_1_B;;;4200;4200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;313;;;;;;;0;;;;2003;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;280_1;;;4200;C-4201;;;ЛОЖЬ;ЛОЖЬ;;280;;;;;;;0;;;;679;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;42TI801C2_TF;;COM;4200;A_C4202;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;244;;;;;;;0;;;;1024;ИСТИНА;22708;None;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;1238;;;;
M;C330_1_A;;;4200;4200;Compiler marker;;ЛОЖЬ;ЛОЖЬ;;330;;;;;;;0;;;;454;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;298_6;;;4200;;;;ЛОЖЬ;ЛОЖЬ;;298;;;;;;;0;;;;287;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;58HS201D_MOD;;COM;5800;A_5800;ESD MOS EN AREA 5800-3/4;No;ЛОЖЬ;ЛОЖЬ;;85;;;;;;;0;;;;1139;ЛОЖЬ;0;None;;;;;;1=NOT ENABLE;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;917;;;;
DI;42TT031;;COM;4200;;;No;ЛОЖЬ;ИСТИНА;;145;;;;;;;0;;;;836;ЛОЖЬ;0;None;;;;;;1=MO CONFIRMED;1=MO CONFIRMED;;;;;;Undefined;;;;;;;;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;View only;;;;;;;;;;;;;Input;CC_CCB_2;ESD_411_2;21;;;;;;;;;;;;
M;360_874_1;;;4200;C-4202;42XY006_I;;ЛОЖЬ;ЛОЖЬ;;874;;;;;;;0;;;;3818;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;91_2330_2;;;;;MOS_REL AREA 4100;;ЛОЖЬ;ЛОЖЬ;;2330;;;;;;;0;;;;4150;ЛОЖЬ;0;;;;;;;1=RELEASED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;42HA011F;;COM;4200;A_C4202;C-4202 EMERG.SD;No;ЛОЖЬ;ЛОЖЬ;;328;;;;;;;0;;;;3932;ИСТИНА;22986;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;446;;;;
M;2462_B;;;;;1 = Limit Switch SAFE;;ЛОЖЬ;ЛОЖЬ;;2462;;;;;;;0;;;;246;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;250_1024_1;;;4200;C-4201;42TAHH812B/812A_I;;ЛОЖЬ;ЛОЖЬ;;1024;;;;;;;0;;;;975;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;306_303_4;;;4200;C-4202;OOS FOR C-4202;;ЛОЖЬ;ЛОЖЬ;;303;;;;;;;0;;;;1486;ЛОЖЬ;0;;;;;;;1=OVERRIDE;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BI;42PT817AH_P;;COM;4200;C-4202;;No;ЛОЖЬ;ИСТИНА;;307;;Word;;;;;0;;;;814;;0;;;;;;;;;0;0;;;;-XXXXX.X;;;;;;;;Fixed value;10000;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;Input;CC_CCB_2;ESD_411_2;23;;;;;;;;;;;;
M;380_1030_2;;;4200;;42HA056A_I;;ЛОЖЬ;ЛОЖЬ;;1030;;;;;;;0;;;;1014;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2456_H;;;;;;;ЛОЖЬ;ЛОЖЬ;;2456;;;;;;;0;;;;4231;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;C800_3_B;;;5800;5800;Compiler register;;ЛОЖЬ;ЛОЖЬ;;800;;Float;;;;;0;;;;108;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;42TI810B_HH;;COM;4200;A_C4201;HH TRIP SETPOINT (°C);No;ЛОЖЬ;ЛОЖЬ;;246;;Float;;;;;0;;;;288;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_411_2;10167;;;;
DI;42HS062;;COM;4200;A_C4202;42-I-002 RESET;No;ЛОЖЬ;ИСТИНА;;330;;;;;;;0;;;;1588;ЛОЖЬ;0;None;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Input;EPKS_CCB;ESD_411_2;21;;;;
