PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11
M;777_1517_4;;;740-20;;74TI952 TF;;ЛОЖЬ;ЛОЖЬ;;1517;;;;;;;0;;;;5292;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C557_1_A;;;C7303001;C7303001;Compiler marker;;ЛОЖЬ;ЛОЖЬ;;557;;;;;;;0;;;;5452;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74PI953_MOC;;COM;740-20;A_C74022;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;779;;;;;;;0;;;;2128;ИСТИНА;14726;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73PDI104B_TF;;COM;730-30;;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;955;;;;;;;0;;;;2679;ИСТИНА;14727;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1033_1_K;;;740-20;740-20;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1033;;;;;;;0;;;;4345;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;955_1506_2;;;;;73PDI104B TF;;ЛОЖЬ;ЛОЖЬ;;1506;;;;;;;0;;;;1332;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73ZAHH002A_PA;;COM;C730-31;A_C73031;2oo2 PRE ALARM;No;ЛОЖЬ;ЛОЖЬ;;931;;;;;;;0;;;;125;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;1196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73VSHH001B2_FU;;COM;730-30;;С-7303001B EMERGENCY SD;No;ЛОЖЬ;ЛОЖЬ;;1059;;;;;;;0;;;;4483;ЛОЖЬ;0;None;;;;;;1=FIRST;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;771_9;;;C742002;;;;ЛОЖЬ;ЛОЖЬ;;771;;;;;;;0;;;;5874;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;533_96_1;;;730-30;;73PT143;;ЛОЖЬ;ЛОЖЬ;;96;;;;;;;0;;;;1925;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73VSHH006_MOC;;COM;730-30;A_C73030;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;555;;;;;;;0;;;;4983;ИСТИНА;13961;None;;;;;;1=CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74TI079A_TF;;COM;740-20;;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;330;;;;;;;0;;;;5885;ИСТИНА;14475;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C777_6_F;;;C742002;C742002;Function block marker;;ЛОЖЬ;ЛОЖЬ;;777;;;;;;;0;;;;6274;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;74XS882_P;;COM;C742002;;C-7402002BX-RUNNING;No;ЛОЖЬ;ИСТИНА;;731;;;;;;;0;;;;3761;ЛОЖЬ;0;None;;;;;;1=RUN;;;;;;;Undefined;;;;;;;;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;Input;CC_UCB_3;ESD_002_1;2;;;;;;;;;;;;;;;;
DI;ACK;;COM;;;ALARM LIGHT ACK;No;ЛОЖЬ;ИСТИНА;;2480;;;;;;;0;;;;3906;ЛОЖЬ;0;None;;;;;;1=ACK;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;Input;EPKS_UCB;ESD_002_1;207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;917_5;;;C7303001;;;;ЛОЖЬ;ЛОЖЬ;;917;;;;;;;0;;;;2380;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74TALL076;;COM;740-20;A_C74021;BCK H2O  AFT E7402001S;No;ЛОЖЬ;ЛОЖЬ;;310;;;;;;;0;;;;1365;ИСТИНА;14730;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;73PI149;;FLD;730-30;A_C73032;COMPRESSOR DELIVERY;Yes;ИСТИНА;ЛОЖЬ;;545;ИСТИНА;Float;4-20mA;0;6.5;MPa;;;;;152;ЛОЖЬ;14765;;None;None;None;None;;;;-1.624;-1.624;;;;-XXXXX.X;3.64;22;;07.04;15;5;1;Top scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;Output;EPKS_UCB;ESD_002_1;10082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;74VSHH951AB_MOR;;COM;740-20;A_C74022;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;797;;;;;;;0;;;;4034;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;;;;;;;;Freeze;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;Input;EPKS_UCB;ESD_002_1;243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73PALL125A_CA;;COM;730-30;;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;415;;;;;;;0;;;;1508;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74TI833_TF;;COM;740-20;A_C74021;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;709;;;;;;;0;;;;1957;ИСТИНА;14732;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74PALL919A_CA;;COM;730-30;;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;621;;;;;;;0;;;;5850;ЛОЖЬ;0;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;73TI096A_MOR;;COM;730-30;A_C73031;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;903;;;;;;;0;;;;3907;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;Input;EPKS_UCB;ESD_002_1;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C623_6_F;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;623;;;;;;;0;;;;6560;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;73ZSHH002A_2;;BNS;730-31;A_C73031;C7303001A POS GEAR HS 1;Yes;ИСТИНА;ЛОЖЬ;;931;;;;;;;;;;;244;ИСТИНА;14734;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;07.08;11;13;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;Output;EPKS_UCB;ESD_002_1;775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2456_H;;;;;Trip 8;;ЛОЖЬ;ЛОЖЬ;;2456;;;;;;;0;;;;1197;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1013_1_L;;;740-20;740-20;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1013;;;;;;;0;;;;4418;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;88TI901B_TF;;COM;88014;A_88014;TRANSM.FAIL;No;ЛОЖЬ;ЛОЖЬ;;1500;;;;;;;0;;;;369;ИСТИНА;15188;None;;;;;;0=ALARM;0=ALARM;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;2245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C787_8_G;;;C742002;C742002;Function block marker;;ЛОЖЬ;ЛОЖЬ;;787;;;;;;;0;;;;6226;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;557_3;;;C7303001;;;;ЛОЖЬ;ЛОЖЬ;;557;;;;;;;0;;;;4974;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C417_7_G;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;417;;;;;;;0;;;;6744;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;693_5;;;C742002;;;;ЛОЖЬ;ЛОЖЬ;;693;;;;;;;;100 ms;5;;1804;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;328_86_1;;;740-20;;74TT078;;ЛОЖЬ;ЛОЖЬ;;86;;;;;;;0;;;;1215;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;903_1504_4;;;;;73TI095A1 TF;;ЛОЖЬ;ЛОЖЬ;;1504;;;;;;;0;;;;1942;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73VSHH001B1_FU;;COM;730-30;;С-7303001B EMERGENCY SD;No;ЛОЖЬ;ЛОЖЬ;;1059;;;;;;;0;;;;4482;ЛОЖЬ;0;None;;;;;;1=FIRST;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;951_1506_3;;;C7303001;;73PI182B TF;;ЛОЖЬ;ЛОЖЬ;;1506;;;;;;;0;;;;4792;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;931_1055_1;;;C7303001;;73ZAHH001A_I;;ЛОЖЬ;ЛОЖЬ;;1055;;;;;;;0;;;;4611;ЛОЖЬ;0;;;;;;;0=TRIP;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74PALL832_CA;;COM;740-20;A_C74021;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;579;;;;;;;0;;;;5494;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;999_9;;;740-20;;;;ЛОЖЬ;ЛОЖЬ;;999;;;;;;;0;;;;3174;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;307_350_1;;;740-20;;74HS018_022;;ЛОЖЬ;ЛОЖЬ;;350;;;;;;;0;;;;1478;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;73TI024A_MOR;;COM;730-30;A_73030;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;433;;;;;;;0;;;;3908;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;Input;EPKS_UCB;ESD_002_1;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1059_2_J;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1059;;;;;;;0;;;;4708;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C698_5_E;;;740-20;740-20;Function block marker;;ЛОЖЬ;ЛОЖЬ;;698;;;;;;;0;;;;6446;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;553_1;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;553;;;;;;;;100 ms;5;;372;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;919_2;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;919;;;;;;;0;;;;2791;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73LAHH004B1_CA;;COM;730-30;A_C73031;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;463;;;;;;;0;;;;5476;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;777_778_5;;;740-20;;74TI952;;ЛОЖЬ;ЛОЖЬ;;778;;Float;;;;;0;;;;1218;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C703_7_E;;;C742002;C742002;Function block marker;;ЛОЖЬ;ЛОЖЬ;;703;;;;;;;0;;;;6426;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;959_98_2;;;730-30;;73PT105B;;ЛОЖЬ;ЛОЖЬ;;98;;;;;;;0;;;;2929;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;799_805_4;;;C742002;;74VSHH952AB;;ЛОЖЬ;ЛОЖЬ;;805;;;;;;;0;;;;6192;ЛОЖЬ;0;;;;;;;0=TRIP;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;73HS054A2;;LCP;730-30;;C7303001A EM. STOP;Yes;ИСТИНА;ЛОЖЬ;;936;;;;;;;;;;;336;ИСТИНА;13970;None;;;;;;0=TRIP;0=TRIP;;;;;;Undefined;;;;07.10;17;9;1;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;View only;Output;EPKS_UCB;ESD_002_1;1969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;73TI068A2B;;FLD;C7303001;;CM7303001A V DE WINDING;Yes;ИСТИНА;ЛОЖЬ;;915;ИСТИНА;Float;4-20mA;0;250;°C;;;;;1272;ЛОЖЬ;14853;;None;None;None;None;;;;;;;;;-XXXXX.X;3.76;21;;07.05;17;13;1;Top scale;;;;ЛОЖЬ;ИСТИНА;ЛОЖЬ;;;;Output;EPKS_UCB;ESD_002_1;10424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C751_6_E;;;C742002;C742002;Function block marker;;ЛОЖЬ;ЛОЖЬ;;751;;;;;;;0;;;;6293;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;913_1053_2;;;C7303001;;73TAHH068A1_I;;ЛОЖЬ;ЛОЖЬ;;1053;;;;;;;0;;;;4597;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C531_2_B;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;531;;;;;;;0;;;;197;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74HA013_PA;;COM;740-20;A_74020;1oo2 PRE ALARM;No;ЛОЖЬ;ЛОЖЬ;;300;;;;;;;0;;;;1396;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73XS004A_LL;;COM;730-30;;CLOSE CONTACT;No;ЛОЖЬ;ЛОЖЬ;;439;;;;;;;0;;;;503;ЛОЖЬ;0;None;;;;;;1=NOT CLOSE;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73PAHH087A1_CA;;COM;730-30;A_C73031;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;545;;;;;;;0;;;;5484;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;74TI079A;;FLD;740-20;;CYCLE H2O AFT E7402002CX;Yes;ИСТИНА;ЛОЖЬ;;330;ИСТИНА;Float;4-20mA;0;200;°C;;;;;660;ЛОЖЬ;14291;;None;None;None;None;;;;;;;;;-XXXXX.X;3.76;21;;07.05;13;13;1;Bottom scale;;;;ЛОЖЬ;ИСТИНА;ЛОЖЬ;;;;Output;EPKS_UCB;ESD_002_1;10351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;583_1530_5;;;;;74TAH861A_HI;;ЛОЖЬ;ЛОЖЬ;;1530;;;;;;;0;;;;4925;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73VAH004A1A2;;COM;730-30;A_C73031;1oo2 PRE ALARM;No;ЛОЖЬ;ЛОЖЬ;;925;;;;;;;0;;;;2735;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C436_2_E;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;436;;;;;;;0;;;;6715;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C537_3_G;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;537;;;;;;;0;;;;6648;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C771_2_F;;;C742002;C742002;Function block marker;;ЛОЖЬ;ЛОЖЬ;;771;;;;;;;0;;;;5924;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73PALL106A_CA;;COM;730-30;A_C73031;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;909;;;;;;;0;;;;84;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1895;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;639_112_1;;;C742001;;74TT938;;ЛОЖЬ;ЛОЖЬ;;112;;;;;;;0;;;;2243;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;74TI984_HH;;COM;740-20;A_C74022;HH TRIP SETPOINT (°C);No;ЛОЖЬ;ЛОЖЬ;;791;;Float;;;;;0;;;;748;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;10347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;74TI840_MOR;;COM;740-20;A_C74021;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;577;;;;;;;0;;;;3957;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;;;;;;;;Freeze;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;Input;EPKS_UCB;ESD_002_1;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C697_5_F;;;C742002;C742002;Function block marker;;ЛОЖЬ;ЛОЖЬ;;697;;;;;;;0;;;;6451;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1021_2_J;;;740-20;740-20;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1021;;;;;;;0;;;;4392;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
