PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11
M;C401_4_G;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;401;;;;;;;0;;;;347;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1025_1;;;740-20;;;;ЛОЖЬ;ЛОЖЬ;;1025;;;;;;;0;;;;3466;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C693_6_F;;;C742002;C742002;Function block marker;;ЛОЖЬ;ЛОЖЬ;;693;;;;;;;0;;;;6470;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;553_561_2;;;730-30;;73TAHH151_I;;ЛОЖЬ;ЛОЖЬ;;561;;;;;;;0;;;;1955;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C541_7_F;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;541;;;;;;;0;;;;6639;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73ZAHH001B;;COM;730-30;A_C73031;C7303001B POS GEAR HS 2;No;ЛОЖЬ;ЛОЖЬ;;981;;;;;;;0;;;;2901;ИСТИНА;13804;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74PALL054_CA;;COM;740-20;A_74020;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;322;;;;;;;0;;;;1386;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;647_1007_1;;;C742001;;74VAHH906A_I;;ЛОЖЬ;ЛОЖЬ;;1007;;;;;;;0;;;;3274;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;407_1043_4;;;730-30;;N2 STATION EMERG SD;;ЛОЖЬ;ЛОЖЬ;;1043;;;;;;;0;;;;4517;ЛОЖЬ;0;;;;;;;0=TRIP;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;635_4;;;C742001;;;;ЛОЖЬ;ЛОЖЬ;;635;;;;;;;;100 ms;5;;1728;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;643_10;;;C742001;;;;ЛОЖЬ;ЛОЖЬ;;643;;;;;;;0;;;;6174;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2369_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;2369;;;;;;;0;;;;764;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;699_120_1;;;C742002;;74PT803;;ЛОЖЬ;ЛОЖЬ;;120;;;;;;;0;;;;2429;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;587_5;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;587;;;;;;;;100 ms;5;;1628;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;533_2;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;533;;;;;;;0;;;;1927;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
