НомерГруппы;ИмяГруппы;Точка1;Точка2;Точка3;Точка4;Точка5;Точка6;Точка7;Точка8;Точка9;Точка10;Точка11;Точка12;Точка13;Точка14;Точка15;Точка16;Точка17;Точка18;Точка19;Точка20;Точка21;Точка22;Точка23;Точка24;Точка25;Точка26;Точка27;Точка28;Точка29;Точка30;Точка31;Точка32
2108;;10FI114.DACA.PV;10FI115.DACA.PV;10LI057.DACA.PV;10PI203.DACA.PV;10TC247.PIDA.OP;10TC247.PIDA.PV;10TC247.PIDA.SP;10TI249.DACA.PV;10UIQ076.DACA.PV;10UIQ076.DACB.PV;10TI243.DACA.PV;10UIQ111.DACA.PV;10UIQ111.DACB.PV;10TI245.DACA.PV;;;;;;;;;;;;;;;;;;
2109;;10PI240A.DACA.PV;10FI108.DACA.PV;10FI109.DACA.PV;10HC117.AUTOMANA.OP;10PC184.PIDA.OP;10PC184.PIDA.PV;10PC184.PIDA.SP;10PDC193.PIDA.OP;10PDC193.PIDA.PV;10PDC193.PIDA.SP;10PY184A.AUTOMANA.OP;10PY184B.AUTOMANA.OP;10TI237.DACA.PV;10PI240.DACA.PV;;;;;;;;;;;;;;;;;;
2110;;10HC235A.AUTOMANA.OP;10HC235B.AUTOMANA.OP;10HC236A.AUTOMANA.OP;10HC236B.AUTOMANA.OP;10HC237A.AUTOMANA.OP;10HC237B.AUTOMANA.OP;10SI139.DACA.PV;10SI140.DACA.PV;10SI141.DACA.PV;10SI142.DACA.PV;10SI143.DACA.PV;10SI144.DACA.PV;10TC240A.PIDA.OP;10TC240A.PIDA.PV;10TC240A.PIDA.SP;10TC241.PIDA.OP;10TC241.PIDA.PV;10TC241.PIDA.SP;10TC286.PIDA.OP;10TC286.PIDA.PV;10TC286.PIDA.SP;10TC241.DACA.PV;10TC286.DACA.PV;;;;;;;;;
2111;;10TC287.PIDA.OP;10TC287.PIDA.PV;10TC287.PIDA.SP;10TI241A.DACA.PV;10TI241B.DACA.PV;10TI241C.DACA.PV;10TI241D.DACA.PV;10TI286A.DACA.PV;10TI286B.DACA.PV;10TI286C.DACA.PV;10TI286D.DACA.PV;10TI287A.DACA.PV;10TI287B.DACA.PV;10TI287C.DACA.PV;10TI287D.DACA.PV;10TY241.DACA.PV;10TY286.DACA.PV;10TY287.DACA.PV;10TC287.DACA.PV;;;;;;;;;;;;;
2112;;10HC238A.AUTOMANA.OP;10HC238B.AUTOMANA.OP;10HC239A.AUTOMANA.OP;10HC239B.AUTOMANA.OP;10HC240A.AUTOMANA.OP;10HC240B.AUTOMANA.OP;10SI145.DACA.PV;10SI146.DACA.PV;10SI147.DACA.PV;10SI148.DACA.PV;10SI149.DACA.PV;10SI150.DACA.PV;10TC240B.PIDA.OP;10TC240B.PIDA.PV;10TC240B.PIDA.SP;10TC288.PIDA.OP;10TC288.PIDA.PV;10TC288.PIDA.SP;10TC289.PIDA.OP;10TC289.PIDA.PV;10TC289.PIDA.SP;10TC288.DACA.PV;10TC289.DACA.PV;;;;;;;;;
2113;;10TC290.PIDA.OP;10TC290.PIDA.PV;10TC290.PIDA.SP;10TI288A.DACA.PV;10TI288B.DACA.PV;10TI288C.DACA.PV;10TI288D.DACA.PV;10TI289A.DACA.PV;10TI289B.DACA.PV;10TI289C.DACA.PV;10TI289D.DACA.PV;10TI290A.DACA.PV;10TI290B.DACA.PV;10TI290C.DACA.PV;10TI290D.DACA.PV;10TY288.DACA.PV;10TY289.DACA.PV;10TY290.DACA.PV;10TC290.DACA.PV;;;;;;;;;;;;;
2114;;10FI112.DACA.PV;10FI113.DACA.PV;10PI201.DACA.PV;10PI202.DACA.PV;10TI248.DACA.PV;10FQ112.DACA.PV;10FQ113.DACA.PV;10SY139A.AUTOMANA.OP;10SY140A.AUTOMANA.OP;10SY141A.AUTOMANA.OP;10SY142A.AUTOMANA.OP;10SY143A.AUTOMANA.OP;10SY144A.AUTOMANA.OP;10SY145A.AUTOMANA.OP;10SY146A.AUTOMANA.OP;10SY147A.AUTOMANA.OP;10SY148A.AUTOMANA.OP;10SY149A.AUTOMANA.OP;10SY150A.AUTOMANA.OP;;;;;;;;;;;;;
2115;;10FC006.PIDA.OP;10FC006.PIDA.PV;10FC006.PIDA.SP;10FC094.PIDA.OP;10FC094.PIDA.PV;10FC094.PIDA.SP;10FI001.DACA.PV;10FI002.DACA.PV;10FI107.DACA.PV;10FI004.DACA.PV;10FI005.DACA.PV;10FQ001A.DACA.PV;10FQ001B.DACA.PV;10HC002.AUTOMANA.OP;10HC003.AUTOMANA.OP;10HC004.AUTOMANA.OP;10HC005.AUTOMANA.OP;10PI001.DACA.PV;10TC016.PIDA.OP;10TC016.PIDA.PV;10TC016.PIDA.SP;10FI003.DACA.PV;10TC016.DACA.PV;;;;;;;;;
2116;;10TC018.PIDA.OP;10TC018.PIDA.PV;10TC018.PIDA.SP;10TI001.DACA.PV;10TI004.DACA.PV;10TI007.DACA.PV;10TI010.DACA.PV;10TI011.DACA.PV;10TI014.DACA.PV;10TI015.DACA.PV;10TI017.DACA.PV;10TI019.DACA.PV;10TC018.DACA.PV;;;;;;;;;;;;;;;;;;;
2117;;10FC007.PIDA.OP;10FC007.PIDA.PV;10FC007.PIDA.SP;10FC008.PIDA.OP;10FC008.PIDA.OP;10FC008.PIDA.SP;10FY008.RATIOBIASA.X1;10HS078.DACA.PV;10LC002.PIDA.OP;10LC002.PIDA.PV;10LC002.PIDA.SP;10LI002A.DACA.PV;10LI002B.DACA.PV;10PC016.PIDA.OP;10PC016.PIDA.PV;10PC016.PIDA.SP;;;;;;;;;;;;;;;;
2118;;10PI275.DACA.PV;10PI019.DACA.PV;10PY016A.AUTOMANA.OP;10PY016B.AUTOMANA.OP;10TI024.DACA.PV;10PI017.DACA.PV;10PI018.DACA.PV;10PI018A.DACA.PV;10LI001.PV;10LI003.PV;;;;;;;;;;;;;;;;;;;;;;
2119;;10FC018.PIDA.OP;10FC018.PIDA.PV;10FC018.PIDA.SP;10FI009.DACA.PV;10HC008.AUTOMANA.OP;10TI025.DACA.PV;10TI026.DACA.PV;10TI027.DACA.PV;10TI028.DACA.PV;10TI033.DACA.PV;10TI034.DACA.PV;10TI042.DACA.PV;10TI043.DACA.PV;;;;;;;;;;;;;;;;;;;
2120;;10FI025.DACA.PV;10FI026.DACA.PV;10FI027.DACA.PV;10FI028.DACA.PV;10HC021.AUTOMANA.OP;10HC022.AUTOMANA.OP;10HC023.AUTOMANA.OP;10HC024.AUTOMANA.OP;10TI046.DACA.PV;10TI047.DACA.PV;10TI050.DACA.PV;10TI051.DACA.PV;10TI054.DACA.PV;10TI055.DACA.PV;10TI060.DACA.PV;10TI061.DACA.PV;10TI064.DACA.PV;10TI065.DACA.PV;10TI069.DACA.PV;10TI070.DACA.PV;;;;;;;;;;;;
2121;;10FC047.PIDA.OP;10FC047.PIDA.PV;10FC047.PIDA.SP;10FC048.PIDA.OP;10FC048.PIDA.PV;10FC048.PIDA.SP;10FI049.DACA.PV;10FI050.DACA.PV;10HC044.AUTOMANA.OP;10LC013.PIDA.OP;10PDI072.DACA.PV;10PDI073.DACA.PV;10TI136.DACA.PV;;;;;;;;;;;;;;;;;;;
2122;10PL3026 - АТМ. ОСТАТОК В Н1001А 1-3 ЗМ.;10FI030A.PV;10FI030B.PV;10FI030C.PV;10FC029.PIDA.OP;10FC029.PIDA.PV;10FC029.PIDA.SP;10FC031A.PIDA.OP;10FC031A.PIDA.PV;10FC031A.PIDA.SP;10FC031B.PIDA.OP;10FC031B.PIDA.PV;10FC031B.PIDA.SP;10FC031C.PIDA.OP;10FC031C.PIDA.PV;10FC031C.PIDA.SP;10TI071.DACA.PV;;;;;;;;;;;;;;;;
2123;;10FC032A.PIDA.OP;10FC032A.PIDA.PV;10FC032A.PIDA.SP;10FC032B.PIDA.OP;10FC032B.PIDA.PV;10FC032B.PIDA.SP;10FC032C.PIDA.OP;10FC032C.PIDA.PV;10FC032C.PIDA.SP;10FF031A.RATIOCTL.PV;10FF031B.RATIOCTL.PV;10FF031C.RATIOCTL.PV;10FI033.DACA.PV;10FI034.DACA.PV;10FY031A.REGCALCA.OP;10FY031B.REGCALCA.OP;10FY031C.REGCALCA.OP;10FY032A.OVRDSELA.OPEU;10FY032B.OVRDSELA.OPEU;10FY032C.OVRDSELA.OPEU;;;;;;;;;;;;
2124;;10HC027.AUTOMANA.OP;10PI036.DACA.PV;10PI037.DACA.PV;10PI039.DACA.PV;10PI245A.DACA.PV;10PI245B.DACA.PV;10PI245C.DACA.PV;10PI247A.DACA.PV;10PI247B.DACA.PV;10PI247C.DACA.PV;10TC074.PIDA.OP;10TC074.PIDA.PV;10TC074.PIDA.SP;10TDC082A.PIDA.OP;10TDC082A.PIDA.PV;10TDC082A.PIDA.SP;10TDC082B.PIDA.OP;10TDC082B.PIDA.PV;10TDC082B.PIDA.SP;10TDC082C.PIDA.OP;10TDC082C.PIDA.PV;10TDC082C.PIDA.SP;10TDC082A.DACA.PV;10TDC082B.DACA.PV;10TDC082C.DACA.PV;10AI950C2.PV;;;;;;
2125;;10TI073.DACA.PV;10TI074A.DACA.PV;10TI074B.DACA.PV;10TI078.DACA.PV;10TI079.DACA.PV;10TI084.DACA.PV;10TI085.DACA.PV;10TI086.DACA.PV;10TI087.DACA.PV;10TY074.DACA.PV;10TY081.DACA.PV;;;;;;;;;;;;;;;;;;;;;
2126;;10FC035.PIDA.OP;10FC035.PIDA.PV;10FC035.PIDA.SP;10FC037A.PIDA.OP;10FC037A.PIDA.PV;10FC037A.PIDA.SP;10FC037B.PIDA.OP;10FC037B.PIDA.PV;10FC037B.PIDA.SP;10FC037C.PIDA.OP;10FC037C.PIDA.PV;10FC037C.PIDA.SP;;;;;;;;;;;;;;;;;;;;
2127;;10FC038A.PIDA.OP;10FC038A.PIDA.PV;10FC038A.PIDA.SP;10FC038B.PIDA.OP;10FC038B.PIDA.PV;10FC038B.PIDA.SP;10FC038C.PIDA.OP;10FC038C.PIDA.PV;10FC038C.PIDA.SP;10FF037A.RATIOCTL.PV;10FF037B.RATIOCTL.PV;10FF037C.RATIOCTL.PV;10FI039.DACA.PV;10FI040.DACA.PV;10FY037A.REGCALCA.OP;10FY037B.REGCALCA.OP;10FY037C.REGCALCA.OP;10FY038A.OVRDSELA.OPEU;10FY038B.OVRDSELA.OPEU;10FY038C.OVRDSELA.OPEU;10FI036A.PV;10FI036B.PV;10FI036C.PV;;;;;;;;;
2128;;10HC035.AUTOMANA.OP;10PI047.DACA.PV;10PI048.DACA.PV;10PI050.DACA.PV;10PI246A.DACA.PV;10PI246B.DACA.PV;10PI246C.DACA.PV;10PI248A.DACA.PV;10PI248B.DACA.PV;10PI248C.DACA.PV;10TC091.PIDA.OP;10TC091.PIDA.PV;10TC091.PIDA.SP;10TDC099A.PIDA.OP;10TDC099A.PIDA.PV;10TDC099A.PIDA.SP;10TDC099B.PIDA.OP;10TDC099B.PIDA.PV;10TDC099B.PIDA.SP;10TDC099C.PIDA.OP;10TDC099C.PIDA.PV;10TDC099C.PIDA.SP;10TDC099A.DACA.PV;10TDC099B.DACA.PV;10TDC099C.DACA.PV;;;;;;;
2129;;10TI088.DACA.PV;10TI090.DACA.PV;10TI091A.DACA.PV;10TI091B.DACA.PV;10TI095.DACA.PV;10TI096.DACA.PV;10TI101.DACA.PV;10TI102.DACA.PV;10TI103.DACA.PV;10TI104.DACA.PV;10TY091.DACA.PV;10TY098.DACA.PV;10TI092B.PV;10TI089C.PV;;;;;;;;;;;;;;;;;;
2130;;10FC043.PIDA.OP;10FC043.PIDA.PV;10FC043.PIDA.SP;10FC044.PIDA.OP;10FC044.PIDA.PV;10FC044.PIDA.SP;10TI094B.PV;10TI094C.PV;10FC045.PIDA.SP;10FC046.PIDA.OP;10FC046.PIDA.PV;10FC046.PIDA.SP;10LC010.PIDA.OP;10LC010.PIDA.PV;10LC010.PIDA.SP;10LC011.PIDA.OP;10LC011.PIDA.PV;10LC011.PIDA.SP;;;;;;;;;;;;;;
2131;;10LC012.PIDA.OP;10LC012.PIDA.PV;10LC012.PIDA.SP;10LC013.PIDA.OP;10LC013.PIDA.PV;10LC013.PIDA.SP;10PC077.PIDA.OP;10PC077.PIDA.PV;10PC077.PIDA.SP;10PDI071.DACA.PV;10PDI074.DACA.PV;10PDI075.DACA.PV;10PDI076.DACA.PV;10PDI079A.DACA.PV;10PDI079B.DACA.PV;10PDI079C.DACA.PV;10PDI079D.DACA.PV;10PDI079E.DACA.PV;10PDI079F.DACA.PV;10PDI079G.DACA.PV;;;;;;;;;;;;
2132;;10PDI079H.DACA.PV;10PI079A.DACA.PV;10PI079B.DACA.PV;10PI079C.DACA.PV;10PI079D.DACA.PV;10PI079E.DACA.PV;10PI079F.DACA.PV;10PI079G.DACA.PV;10PI079H.DACA.PV;10PI079K.DACA.PV;10TC122.PIDA.PV;10TC122.PIDA.OP;10TC122.PIDA.SP;10TC129.PIDA.OP;10TC129.PIDA.PV;10TC129.PIDA.SP;10TC131.PIDA.OP;10TC131.PIDA.PV;10TC131.PIDA.SP;10TI125.DACA.PV;;;;;;;;;;;;
2133;;10TI123.DACA.PV;10TI124.DACA.PV;10TI126.DACA.PV;10TI127.DACA.PV;10TI128.DACA.PV;10TI130.DACA.PV;10TI132.DACA.PV;10TI133.DACA.PV;10TI134.DACA.PV;10TI135.DACA.PV;;;;;;;;;;;;;;;;;;;;;;
2134;;10FC041.PIDA.OP;10FC041.PIDA.PV;10FC041.PIDA.SP;10FF091.RATIOBIASA.X1;10FI042.DACA.PV;10LC014.PIDA.OP;10LC014.PIDA.PV;10LC014.PIDA.SP;10PDI079K.DACA.PV;10PI079L.DACA.PV;10PI204.DACA.PV;10TC066.PIDA.OP;10TC066.PIDA.PV;10TC066.PIDA.SP;10TC121.PIDA.OP;10TC121.PIDA.PV;10TC121.PIDA.SP;;;;;;;;;;;;;;;
2135;;10FC060.PIDA.OP;10FC060.PIDA.PV;10FC060.PIDA.SP;10FC091.PIDA.OP;10FC091.PIDA.PV;10FC091.PIDA.SP;10FF059.REGCALCA.OP;10FI059.DACA.PV;10FI064.DACA.PV;10FI065.DACA.PV;10FQ062.DACA.PV;10PI043.DACA.PV;10PI081.DACA.PV;10TC162.PIDA.OP;10TC162.PIDA.PV;10TC162.PIDA.SP;10TI145.DACA.PV;10TI152.DACA.PV;10TI153.DACA.PV;10TI155.DACA.PV;10FY091.AUTOMANA.X1;10FY091.AUTOMANA.OP;;;;;;;;;;
2136;;10TI157.DACA.PV;10TI161.DACA.PV;10TI164.DACA.PV;10TI165.DACA.PV;10FI054.DACA.PV;10TI142.DACA.PV;10UIQ055.DACA.PV;10UIQ055.DACB.PV;10TI140.DACA.PV;10FI056.DACA.PV;10TI139.DACA.PV;;;;;;;;;;;;;;;;;;;;;
2137;;10FI061.DACA.PV;10FI093.DACA.PV;10LC010.PIDA.OP;10PC089.PIDA.OP;10PC089.PIDA.PV;10PC089.PIDA.SP;10PC091.PIDA.OP;10PC091.PIDA.PV;10PC091.PIDA.SP;10PI086.DACA.PV;10PI087.DACA.PV;10PI092.DACA.PV;10PI093.DACA.PV;10TC173.PIDA.OP;10TC173.PIDA.PV;10TC173.PIDA.SP;10TC175.PIDA.OP;10TC175.PIDA.PV;10TC175.PIDA.SP;10TC176.PIDA.OP;10TC176.PIDA.PV;10TC176.PIDA.SP;10FI061C.DACA.PV;10FI093C.DACA.PV;10FC310.PIDA.PV;10FC310.PIDA.OP;10FC310.PIDA.SP;10FC310.DACA.PV;10FC311.PIDA.PV;10FC311.PIDA.OP;10FC311.PIDA.SP;10FC311.DACA.PV
2138;;10TC179.PIDA.OP;10TC179.PIDA.PV;10TC179.PIDA.SP;10TI181.DACA.PV;10TI182.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;
2139;;10AI050.DACA.PV;10PC077.PIDA.OP;10PI045.DACA.PV;10PI998.DACA.PV;10PI999.DACA.PV;10TI105.DACA.PV;10TI991.DACA.PV;10TI992.DACA.PV;10TI993.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;
2140;;10LI998.DACA.PV;10FI066.DACA.PV;10FI067.DACA.PV;10LC020.PIDA.OP;10LC020.PIDA.PV;10LC020.PIDA.SP;10LC023.PIDA.OP;10LC023.PIDA.PV;10LC023.PIDA.SP;10LI025.DACA.PV;10LI027.DACA.PV;10LI029.DACA.PV;10PI094.DACA.PV;10PI105.DACA.PV;10TI154.DACA.PV;10TI158.DACA.PV;10TI183.DACA.PV;10TI184.DACA.PV;10TI185.DACA.PV;;;;;;;;;;;;;
2141;;10TI186.DACA.PV;10TI215.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2142;;10FI036A_HZ.DACA.PV;10FI036B_HZ.DACA.PV;10FI036C_HZ.DACA.PV;10FI036D_HZ.DACA.PV;10FI036E_HZ.DACA.PV;10FI036F_HZ.DACA.PV;10FI036G_HZ.DACA.PV;10FI036H_HZ.DACA.PV;10FI037A_HZ.DACA.PV;10FI037B_HZ.DACA.PV;10FI037C_HZ.DACA.PV;10FI037D_HZ.DACA.PV;10FI037E_HZ.DACA.PV;10FI037F_HZ.DACA.PV;10FI037G_HZ.DACA.PV;10FI037H_HZ.DACA.PV;10TI197A.DACA.PV;10TI197B.DACA.PV;10TI197C.DACA.PV;10TI197D.DACA.PV;;;;;;;;;;;;
2143;;10TI197E.DACA.PV;10TI197F.DACA.PV;10TI197G.DACA.PV;10TI197H.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2144;;10TI650.PV;10TI650A.PV;10TI652.PV;10TI652A.PV;10LI045.PV;10LI044.PV;10LI043.PV;10LI039.DACA.PV;10LI040.DACA.PV;10LI041.DACA.PV;10LI042.DACA.PV;10PI249.DACA.PV;10PI250.DACA.PV;10PI251.DACA.PV;10PI252.DACA.PV;10PI650.DACA.PV;10PI652.DACA.PV;10PI656.DACA.PV;10TI223.DACA.PV;10PI654.DACA.PV;10TI654.PV;10TI654A.PV;10TI656.PV;10TI656A.PV;;;;;;;;
2145;;10TI224.DACA.PV;10TI225.DACA.PV;10TI226.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2146;;10PI253.DACA.PV;43FQ405.DACA.PV;10FI100.DACA.PV;10LC034.PIDA.OP;10LC034.PIDA.PV;10LC034.PIDA.SP;10LI037.PV;10PC164.PIDA.OP;10PC164.PIDA.PV;10PC164.PIDA.SP;10PC165.PIDA.OP;10PC165.PIDA.PV;10PC165.PIDA.SP;10PI153.DACA.PV;10PY164A.AUTOMANA.OP;10PY164B.AUTOMANA.OP;10TC110.PIDA.OP;10TC110.PIDA.PV;10TC110.PIDA.SP;10TC218.PIDA.OP;10TC218.PIDA.PV;10TC218.PIDA.SP;10PI253A.DACA.PV;10TC218.DACA.PV;10LI038.PV;;;;;;;
2147;;10TI216.DACA.PV;10TI217.DACA.PV;10TI220.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2148;;10LI052.PV;10FC103.PIDA.OP;10FC103.PIDA.PV;10FC103.PIDA.SP;10FC106.PIDA.OP;10FC106.PIDA.PV;10FC106.PIDA.SP;10FI104.DACA.PV;10HS112.DACA.PV;10LC048.PIDA.OP;10LC048.PIDA.PV;10LC048.PIDA.SP;10LC051.PIDA.OP;10LC051.PIDA.PV;10LC051.PIDA.SP;10LI048A.DACA.PV;10LI048B.DACA.PV;10LI053.DACA.PV;10HS051.DACA.PV;;;;;;;;;;;;;
2149;;10LY048.REGCALCA.OP;10PI176.DACA.PV;10TI234.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2150;;10FC031D.PIDA.OP;10FC031D.PIDA.PV;10FC031D.PIDA.SP;10FC031E.PIDA.OP;10FC031E.PIDA.PV;10FC031E.PIDA.SP;10FC031F.PIDA.OP;10FC031F.PIDA.PV;10FC031F.PIDA.SP;10FC032D.PIDA.OP;10FC032D.PIDA.PV;10FC032D.PIDA.SP;;;;;;;;;;;;;;;;;;;;
2151;;10FC032E.PIDA.OP;10FC032E.PIDA.PV;10FC032E.PIDA.SP;10FC032F.PIDA.OP;10FC032F.PIDA.PV;10FC032F.PIDA.SP;10FF031D.RATIOCTL.PV;10FF031E.RATIOCTL.PV;10FF031F.RATIOCTL.PV;10FI033.DACA.PV;10FI034.DACA.PV;10FY031D.REGCALCA.OP;10FY031E.REGCALCA.OP;10FY031F.REGCALCA.OP;10FY032D.OVRDSELA.OPEU;10FY032E.OVRDSELA.OPEU;10FY032F.OVRDSELA.OPEU;10HC027.AUTOMANA.OP;10PI036.DACA.PV;10PI037.DACA.PV;10FI030D.PV;10FI030E.PV;10FI030F.PV;;;;;;;;;
2152;;10PI039.DACA.PV;10PI245D.DACA.PV;10PI245E.DACA.PV;10PI245F.DACA.PV;10PI247D.DACA.PV;10PI247E.DACA.PV;10PI247F.DACA.PV;10TC074.PIDA.OP;10TC074.PIDA.PV;10TC074.PIDA.SP;10TDC082D.PIDA.OP;10TDC082D.PIDA.PV;10TDC082D.PIDA.SP;10TDC082E.PIDA.OP;10TDC082E.PIDA.PV;10TDC082E.PIDA.SP;10TDC082F.PIDA.OP;10TDC082F.PIDA.PV;10TDC082F.PIDA.SP;10TI074A.DACA.PV;10TDC082D.DACA.PV;10TDC082E.DACA.PV;10TDC082F.DACA.PV;;;;;;;;;
2153;;10TI074B.DACA.PV;10TI080.DACA.PV;10TI084.DACA.PV;10TI085.DACA.PV;10TI086.DACA.PV;10TI087.DACA.PV;10TI254.DACA.PV;10TI255.DACA.PV;10TY074.DACA.PV;10TY081.DACA.PV;;;;;;;;;;;;;;;;;;;;;;
2154;;10FC031G.PIDA.OP;10FC031G.PIDA.PV;10FC031G.PIDA.SP;10FC031H.PIDA.OP;10FC031H.PIDA.PV;10FC031H.PIDA.SP;10FC032G.PIDA.OP;10FC032G.PIDA.PV;10FC032G.PIDA.SP;10FC032H.PIDA.OP;10FC032H.PIDA.PV;10FC032H.PIDA.SP;10FF031G.RATIOCTL.PV;10FF031H.RATIOCTL.PV;;;;;;;;;;;;;;;;;;
2155;;10FI033.DACA.PV;10FI034.DACA.PV;10FY031G.REGCALCA.OP;10FY031H.REGCALCA.OP;10FY032G.OVRDSELA.OPEU;10FY032H.OVRDSELA.OPEU;10HC027.AUTOMANA.OP;10PI036.DACA.PV;10PI037.DACA.PV;10PI039.DACA.PV;10PI245G.DACA.PV;10PI245H.DACA.PV;10PI247G.DACA.PV;10PI247H.DACA.PV;10TC074.PIDA.OP;10TC074.PIDA.PV;10TC074.PIDA.SP;10TDC082G.PIDA.OP;10TDC082G.PIDA.PV;10TDC082G.PIDA.SP;10TDC082G.DACA.PV;10FI030G.PV;10FI030H.PV;;;;;;;;;
2156;;10TDC082H.PIDA.OP;10TDC082H.PIDA.PV;10TDC082H.PIDA.SP;10TI074A.DACA.PV;10TI074B.DACA.PV;10TI084.DACA.PV;10TI085.DACA.PV;10TI086.DACA.PV;10TI087.DACA.PV;10TI256.DACA.PV;10TI257.DACA.PV;10TY074.DACA.PV;10TY081.DACA.PV;10TDC082H.DACA.PV;;;;;;;;;;;;;;;;;;
2157;;10HART_HISTORY2.10FV037F.IN[1];10HART_HISTORY2.10FV037F.IN[4];10FC037D.PIDA.OP;10FC037D.PIDA.PV;10FC037D.PIDA.SP;10FC037E.PIDA.OP;10FC037E.PIDA.PV;10FC037E.PIDA.SP;10FC037F.PIDA.OP;10FC037F.PIDA.PV;10FC037F.PIDA.SP;10FC038D.PIDA.OP;10FC038D.PIDA.PV;10FC038D.PIDA.SP;;;;;;;;;;;;;;;;;;
2158;;10FC038E.PIDA.OP;10FC038E.PIDA.PV;10FC038E.PIDA.SP;10FC038F.PIDA.OP;10FC038F.PIDA.PV;10FC038F.PIDA.SP;10FF037D.RATIOCTL.PV;10FF037E.RATIOCTL.PV;10FF037F.RATIOCTL.PV;10FI039.DACA.PV;10FI040.DACA.PV;10FY037D.REGCALCA.OP;10FY037E.REGCALCA.OP;10FY037F.REGCALCA.OP;10FY038D.OVRDSELA.OPEU;10FY038E.OVRDSELA.OPEU;10FY038F.OVRDSELA.OPEU;10HC035.AUTOMANA.OP;10PI047.DACA.PV;10PI048.DACA.PV;10FI036D.PV;10FI036E.PV;10FI036F.PV;;;;;;;;;
2159;;10PI050.DACA.PV;10PI246D.DACA.PV;10PI998.DACA.PV;10PI999.DACA.PV;10TI991.DACA.PV;10TI992.DACA.PV;10TI993.DACA.PV;10PI246E.DACA.PV;10PI246F.DACA.PV;10TC091.PIDA.SP;10TDC099D.PIDA.OP;10TDC099D.PIDA.PV;10TDC099D.PIDA.SP;10TDC099E.PIDA.OP;10TDC099E.PIDA.PV;10TDC099E.PIDA.SP;10TDC099F.PIDA.OP;10TDC099F.PIDA.PV;10TDC099F.PIDA.SP;10PI248D.DACA.PV;10PI248E.DACA.PV;10PI248F.DACA.PV;10TDC099D.DACA.PV;10TDC099E.DACA.PV;10TDC099F.DACA.PV;;;;;;;
2160;;10TI091B.DACA.PV;10TI097.DACA.PV;10TI101.DACA.PV;10TI102.DACA.PV;10TI103.DACA.PV;10TI104.DACA.PV;10TI262.DACA.PV;10TI263.DACA.PV;10TY091.DACA.PV;10TY098.DACA.PV;10TI258A.PV;10TI258B.PV;10TI258C.PV;10TI259A.PV;10TI259B.PV;10TI259C.PV;;;;;;;;;;;;;;;;
2161;;10FC037G.PIDA.OP;10FC037G.PIDA.PV;10FC037G.PIDA.SP;10FC037H.PIDA.OP;10FC037H.PIDA.PV;10FC037H.PIDA.SP;10FC038G.PIDA.OP;10FC038G.PIDA.PV;10FC038G.PIDA.SP;10FC038H.PIDA.OP;10FC038H.PIDA.PV;10FC038H.PIDA.SP;10FF037G.RATIOCTL.PV;10FF037H.RATIOCTL.PV;;;;;;;;;;;;;;;;;;
2162;;10FI039.DACA.PV;10FI040.DACA.PV;10FY037G.REGCALCA.OP;10FY037H.REGCALCA.OP;10FY038G.OVRDSELA.OPEU;10FY038H.OVRDSELA.OPEU;10HC035.AUTOMANA.OP;10PI047.DACA.PV;10PI048.DACA.PV;10PI050.DACA.PV;10PI246G.DACA.PV;10PI246H.DACA.PV;10PI248G.DACA.PV;10PI248H.DACA.PV;10TC091.PIDA.OP;10TC091.PIDA.PV;10TC091.PIDA.SP;10TDC099G.PIDA.OP;10TDC099G.PIDA.PV;10TDC099G.PIDA.SP;10TDC099G.DACA.PV;10FI036G.PV;10FI036H.PV;;;;;;;;;
2163;;10TDC099H.PIDA.OP;10TDC099H.PIDA.PV;10TDC099H.PIDA.SP;10TI091A.DACA.PV;10TI091B.DACA.PV;10TI101.DACA.PV;10TI102.DACA.PV;10TI103.DACA.PV;10TI104.DACA.PV;10TI264.DACA.PV;10TI265.DACA.PV;10TY091.DACA.PV;10TY098.DACA.PV;10TDC099H.DACA.PV;10TI260A.PV;10TI260B.PV;10TI260C.PV;10TI261A.PV;10TI261B.PV;10TI261C.PV;;;;;;;;;;;;
2164;;10UIQ010.DACA.PV;10UIQ010.DACB.PV;10TI106.DACA.PV;10UIQ011.DACA.PV;10UIQ011.DACB.PV;10TI107.DACA.PV;10UIQ012.DACA.PV;10UIQ012.DACB.PV;10TI108.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;
2166;;10TI901.PV;10TI901A.PV;10TI905B.PV;10TI905C.PV;10FFY907C.REGCALCA.OP;10FY905D.DACA.PV;10HC900.AUTOMANA.OP;10PC906.PIDA.OP;10PC906.PIDA.PV;10PC906.PIDA.SP;;;;;;;;;;;;;;;;;;;;;;
