НомерГруппы;ИмяГруппы;Точка1;Точка2;Точка3;Точка4;Точка5;Точка6;Точка7;Точка8;Точка9;Точка10;Точка11;Точка12;Точка13;Точка14;Точка15;Точка16;Точка17;Точка18;Точка19;Точка20;Точка21;Точка22;Точка23;Точка24;Точка25;Точка26;Точка27;Точка28;Точка29;Точка30;Точка31;Точка32
823;;52LI015.PV;52LI016.PV;52PI056.PV;52PI057.PV;52PI061.PV;52PI063.PV;52PI065.PV;52PI067.PV;52TI991A.PV;52TI991B.PV;52TI992A.PV;52TI992B.PV;52FC001.PIDA.OP;52FC001.PIDA.PV;52FC001.PIDA.SP;52FC006.PIDA.OP;52FC006.PIDA.PV;52FC006.PIDA.SP;52LI001.DACA.PV;52PI005.PV;52FC001.DACA.PV;52FC006.DACA.PV;52PI006.PV;52PI060.PV;52PI062.PV;52PI064.PV;52PI066.PV;52TI991A2.PV;52TI992A2.PV;52LI015A.PV;52LI016A.PV;52TI991B2.PV
824;;52TI992B2.PV;52TI901B2.PV;52TI903B2.PV;52PI910.DACA.PV;52PI911.DACA.PV;52PI912.DACA.PV;52PI913.DACA.PV;52PI914.DACA.PV;52PI915.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;
825;;52LI006.PV;52TI995A.PV;52TI995B.PV;52TI996A.PV;52TI996B.PV;52AI007.DACA.PV;52FC002.PIDA.OP;52FC002.PIDA.PV;52FC002.PIDA.SP;52FC003.PIDA.OP;52FC003.PIDA.PV;52FC003.PIDA.SP;52FC016.PIDA.OP;52FC016.PIDA.PV;52FC016.PIDA.SP;52FC002.DACA.PV;52LC005.PIDA.OP;52LC005.PIDA.PV;52LC005.PIDA.SP;52PDI100.DACA.PV;52FI003.DACA.PV;52FQ003.DACA.PV;52PI905.DACA.PV;52PI907.DACA.PV;52FC003.DACA.PV;52TI995A2.PV;52FC016.DACA.PV;52TI996A2.PV;52LI006A.PV;52TI995B2.PV;52TI996B2.PV;
826;;52PI075.DACA.PV;52PI076.DACA.PV;52TI018.DACA.PV;52TI019.DACA.PV;52TI020.DACA.PV;52TC021.PIDA.PV;52TI022.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;
827;;52LI008.PV;52PI058.PV;52PI059.PV;52TI905A.PV;52TI905B.PV;52TI907A.PV;52TI907B.PV;52FC004.PIDA.OP;52FC004.PIDA.PV;52FC004.PIDA.SP;52FI005.DACA.PV;52FI022.DACA.PV;52LC007.PIDA.OP;52LC007.PIDA.PV;52LC007.PIDA.SP;52LI003.DACA.PV;52PC037.PIDA.OP;52PC037.PIDA.PV;52PC037.PIDA.SP;52PI019.PV;52FQ005.DACA.PV;52FC004.DACA.PV;52PI020.PV;52TI905A2.PV;52TI907A2.PV;52LI008A.PV;52TI905B2.PV;52TI907B2.PV;;;;
828;;52PI036.DACA.PV;52PI920.DACA.PV;52PI921.DACA.PV;52SI001.DACA.PV;52TC023.PIDA.OP;52TC023.PIDA.PV;52TC023.PIDA.SP;52TI020.DACA.PV;52TI041.DACA.PV;52TI054.DACA.PV;;;;;;;;;;;;;;;;;;;;;;
829;;51TI971.PV;52LI013.PV;52LI012.DACA.PV;52PI045.DACA.PV;52TI036.DACA.PV;51FI038.DACA.PV;51FQ038.DACA.PV;51PI084.DACA.PV;51PI971.DACA.PV;51TI094.DACA.PV;51TI971A.PV;;;;;;;;;;;;;;;;;;;;;
830;;52AI005.DACA.PV;52AI006.DACA.PV;52FI027.DACA.PV;52PI072.DACA.PV;52TI045.DACA.PV;52UIQ025.DACA.PV;52UIQ026A.DACA.PV;52UIQ026B.DACA.PV;52UIQ028.DACA.PV;52FI030.DACA.PV;52FI031.DACA.PV;52FQ027.DACA.PV;52FQ030.DACA.PV;52FQ031.DACA.PV;52FQ032.DACA.PV;51PC100.PIDA.PV;51PC100.PIDA.SP;51PC100.PIDA.OP;51PC100.DACA.PV;51PC101.PIDA.PV;51PC101.PIDA.SP;51PC101.PIDA.OP;51PC101.DACA.PV;;;;;;;;;
831;;51PDI838A.PV;51PDI838B.PV;51PI835A.PV;51PI835B.PV;51PI840A.PV;51PI840B.PV;51PI868.PV;51SI925.PV;51TI826C.PV;51TI826D.PV;51ZI925.PV;51ZI926.PV;51PDI839A.PV;51PDI839B.PV;51PI827A.DACA.PV;51PI827B.DACA.PV;51PI827C.DACA.PV;51PI837A.PV;51PI837B.PV;51PI841A.PV;51PI841B.PV;51PI827D.PV;51TI826E.PV;51TI826F.PV;;;;;;;;
832;;51TI826A.DACA.PV;51TI826B.DACA.PV;51TI835A.DACA.PV;51TI835B.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;
