ED#Точка;ED#Alt;TypeDV#Тип;ST#Описание;LE,Objects#Модель;LS,Type#ТипМодели;Points#ACS;ED#Формула;ST#EngUnit
30HS354;PLC=453/FLD=172(FLD);DI;Проверка 30XA578B/A, 30XA579B/A;;;;;
30HS221;PLC=469/FLD=538(FLD);DI;Checking 30XA556;;;;;
30YT011;PLC=11129/FLD=178(FLD);AI;У насоса P-3003A (в осях 6/В);;;;#=83;
30XY578A;PLC=545/FLD=172(FLD);DO;У аппарата V-3023;;;;;
30XY573B;PLC=564/FLD=204(FLD);DO;Снаружи здания(в осях 2/В);;;;;
30XY554B;PLC=597/FLD=556(FLD);DO;In closed pumphouse;;;;;
30HS212;PLC=470/FLD=510(FLD);DI;Checking 30XA534,30XA542;;;;;
30HS214;PLC=473/FLD=502(FLD);DI;Checking 30XA530,30XA531,30XA529;;;;;
30HS104A;PLC=481/FLD=1004(FLD);DI;30XV104 Open;XV-104_HSO;HS->RSU;;;
30GT501;PLC=11365/FLD=312(FLD);AI;At compr. С-3001S(in axes 7-8/А-Б);GI501;M;Показания;#ScaleN(0,100,361,3439);
30XY574A;PLC=541/FLD=163(FLD);DO;Стойка эстакады 7-C12;;;;;
30HS218;PLC=471/FLD=514(FLD);DI;Checking 30XA539,30XA543;;;;;
FGS_301_1.30XA1001_1;PLC=3/FLD=128(FSC);DO;FD act. in Heater FDAP-C,F lamp;;;;;
30XY104;PLC=533/FLD=1008(FLD);DO;Steam curtain Н-3001;XV-104;M;Соленоид;#0;
30XSO300;PLC=513/FLD=806(MCC);DO;Oткрыть при пожаре (OPEN AT FIRE);XV-300;M;Открыть;;
30HS177A1;PLC=493/FLD=910(FLD);DI;AB3002...AB3004 -ON  at 1 - main entrance;;;;;
30XY534B;PLC=582/FLD=510(FLD);DO;Inside pumphouse (constr. 03);;;;;
30XY542A;PLC=622/FLD=510(FLD);DO;Inside pumphouse (constr. 03), in axes 6-7;;;;;
FGS_301_1.30XZLC059.OPFL;PLC=37/FLD=706(FSC);DO;Задвижка 30XV059-закрыта;30XV059_CL;RSU->HS;;#0;
FGS_301_1.30XA1007_1;PLC=13/FLD=130(FSC);DO;MCP act. in 3000-FDAP-C,F lamp;;;;;
30GT519;PLC=11397/FLD=338(FLD);AI;Near Е-3007 (in axes 1-2/Б-В);GI519;M;Показания;#ScaleN(0,100,361,3439);
30XY555A;PLC=630/FLD=556(FLD);DO;At the entrance to closed pumphouse;;;;;
FGS_301_1.30XL229AB;PLC=19/FLD=484(FSC);DO;GAS MO act. in 3000;;;;;
30XY581B;PLC=572/FLD=190(FLD);DO;Снаружи здания(в осях 8/В);;;;;
30HS211;PLC=466/FLD=522(FLD);DI;Checking 30XA538,30XA541;;;;;
30XY534A;PLC=614/FLD=510(FLD);DO;Inside pumphouse (constr. 03);;;;;
30HY178;PLC=527/FLD=912(MCC);DO;"AВ3002 ""Стоп"" (STOP)";;;;;
30GT545;PLC=11321/FLD=356(FLD);AI;Near V-3001;GI545;M;Показания;#ScaleN(0,100,361,3439);
30GT516;PLC=11393/FLD=332(FLD);AI;Near V-3028;GI516;M;Показания;#ScaleN(0,100,361,3439);
30XSO059C;PLC=421/FLD=708(MCC);DI;SIGNAL READY FROM ELECTRIC;;;;#=1;
00XS301GMC02;PLC=512/FLD=22(MAR);DI;IB30-1 COMM. ALARM F-MC-02;;;;;
30GT526;PLC=11385/FLD=350(FLD);AI;Near H-3001 (at the southern side);GI526;M;Показания;#ScaleN(0,100,361,3439);
30YT014;PLC=11141/FLD=184(FLD);AI;У насоса P-3001S (в осях 3/А);;;;#=83;
FGS_301_1.30XL001_3;PLC=0/FLD=210(FSC);DO;IB-30-1-FIRE;;;;;
30GT513;PLC=11289/FLD=328(FLD);AI;Between P-3012A/S;GI513;M;Показания;#ScaleN(0,100,361,3439);
30HS352;PLC=451/FLD=163(FLD);DI;Проверка 30XA574B/A;;;;;
30XY550A;PLC=625/FLD=534(FLD);DO;Near V-3028;;;;;
30GT548;PLC=11325/FLD=362(FLD);AI;Overpass, near 7-С16;GI548;M;Показания;#ScaleN(0,100,525,3439);
30HS220;PLC=465/FLD=526(FLD);DI;Checking 30XA544;;;;;
