ED#Точка;ED#Alt;TypeDV#Тип;ST#Описание;LE,Objects#Модель;LS,Type#ТипМодели;Points#ACS;ED#Формула;ST#EngUnit
30TI811A;PLC=10410/FLD=1320(FLD);AI;P-3001S PUMP T. BEARING;;;;;
30TI884E;PLC=10204/FLD=1426(FLD);AI;C-3001S TEMP BEARING NDE;C-3001S-МС;M;Температура_5;;
30HS936;PLC=1361/FLD=1184(FLD);DI;LAMP TEST;30HS936;HS->RSU;;;
30TI876D;PLC=10202/FLD=1429(FLD);AI;C-3001S PROC GAS CYL 2;T876D_F;M;Показания;;
30XSC093;PLC=0/FLD=249(MOV);DO;"XV-093 ""CLOSE""";XV-093;M;Закрыть;;
30PI064;PLC=10460/FLD=301(FLD);AI;INJECTION C-3001A;P064;M;Показания;;
30XY911;PLC=1350/FLD=1134(FLD);DO;PILOT FUEL GAS;XV-911;M;Соленоид;#0;
30XS897;PLC=1385/FLD=1214(MCC);DI;C-3001A CYL.OIL PM2 STOP;C-3001A-P2;M;Состояние;;
30TI847A;PLC=10186/FLD=271(FLD);AI;P-3006 A  LINE BEARING;Р-3006A;M;Температура_1;;
30XY038;PLC=1542/FLD=285(MCC);DO;P-3007S- STOP TECH FAIL;Р-3007S;M;Стоп2;#0;
30BALL900B;PLC=1446/FLD=1174(LCP);DO;BURNER 2;30BALL900B;RSU->HS;;;
30LI061;PLC=10102/FLD=401(FLD);AI;V3028 LIGHT OIL PRODUCTS;V-3028;M;Уровень;;
30VSHH876A;PLC=1303/FLD=1201(BNS);DI;C-3001A VIBR CRANK HORIZ;;;;#=1;
30XL030B_ON;PLC=12/FLD=442(FSC);DO;CLS XV030,096/ P-3005A/S;;;;;
30XY020;PLC=1532/FLD=438(MCC);DO;P-3002A -STOP TECH FAIL;М_P_3002A;M;Стоп2;#0;
30ZSLL978A;PLC=1754/FLD=1434(FLD);DI;C-3001S  LOCKING DEVICE;;;;#=1;
30HS121AA;PLC=1343/FLD=234(FLD);DI;SD AT FIRE-T.03;30HS121A;HS->RSU;;#0;
30HS118BA;PLC=1335/FLD=231(PNL);DI;SD AT FIRE P-3021 - T.02;30HS118B;HS->RSU;;#0;
30TI849A;PLC=10188/FLD=274(FLD);AI;P-3006 S  LINE BEARING;Р-3006S;M;Температура_1;;
30FI020;PLC=10079/FLD=510(FLD);AI;RAW STUFF TO COIL4 H3001;F020;M;Показания;;
30TI803;PLC=10164/FLD=1303(FLD);AI;P-3001A PUMP J. BEARING;Р-3001A;M;Температура_3;;
30TI107A;PLC=10465/FLD=434(FLD);AI;MED.-PRESS. WATER STEAM;T105;M;Показания;;
30XY024;PLC=1533/FLD=261(MCC);DO;P-3003A STOP TECH FAIL;Р-3003A;M;Стоп2;#0;
30TI158B;PLC=10151/FLD=526(FLD);AI;TAR OIL H-4001 (4 COIL);T028D;M;Показания;;
30HS899;PLC=1359/FLD=1225(FLD);DI;C-3001 EMERGENCY STOP;30HS899;HS->RSU;;#0;
30PI879B;PLC=10127/FLD=1215(FLD);AI;C3001 PRES COOLING WATER;P879B;M;Показания;;
30BALL902A;PLC=1449/FLD=1172(LCP);DO;BURNER 5;30BALL902A;RSU->HS;;;
30XZSO911;PLC=0/FLD=1134(FLD);DI;PILOT FUEL GAS;XV-911;M;Открыт;#0;
30HS706_EN;PLC=7/FLD=43(FSC);DI;ESD MOS EN AREA 3000;;;;;
30XZSO910;PLC=0/FLD=1132(FLD);DI;PILOT FUEL GAS;XV-910;M;Открыт;#0;
