ED#Точка;ED#Alt;TypeDV#Тип;ST#Описание;LE,Objects#Модель;LS,Type#ТипМодели;Points#ACS;ED#Формула;ST#EngUnit
30HS121BA;PLC=1430/FLD=234(PNL);DI;SD AT FIRE - T. 03 - ABO;30HS121B;HS->RSU;;#0;
30VSHH976A;PLC=1307/FLD=1418(BNS);DI;C-3001S VIBR CRANK HORIZ;;;;#=1;
30XL904A;PLC=1476/FLD=1182(LCP);DO;INPUT SUPPLY OPEN;30XL904A;RSU->HS;;;
30TI822A;PLC=10414/FLD=1341(FLD);AI;P-3003A PUMP J. BEAR. T.;;;;;
30AI950C;PLC=10067/FLD=560(FLD);AI;FLUE GAS;Н-3001;M;О2_в_дыме;;
30ZSLL878A;PLC=1752/FLD=1214(FLD);DI;C-3001A  LOCKING DEVICE;;;;#=1;
30TI843A2;PLC=10421/FLD=450(FLD);AI;P-3005 A  LINE BEARING;;;;;
30XY875C;PLC=1510/FLD=1248(FLD);DO;C-3001A  VALVE UNLOADERS;;;;;
30PI163C;PLC=10121/FLD=564(FLD);AI;OUTLET FROM H3001 COIL 3;P163;M;Показания;;
30TI822;PLC=10171/FLD=1341(FLD);AI;P-3003A PUMP J. BEAR. T.;Р-3003A;M;Температура_2;;
30XY039;PLC=1543/FLD=364(MCC);DO;P-3022A-STOP TECH FAIL;Р-3022A;M;Стоп2;#0;
30LI022;PLC=10092/FLD=290(FLD);AI;V3005 HYDROCARBONS/WATER;V-3005;M;Уровень;#ScaleN(0,20,0,105.3);
30PI162C;PLC=10118/FLD=563(FLD);AI;OUTLET FROM H3001 COIL 2;P162;M;Показания;;
30HS704_EN;PLC=2/FLD=39(FSC);DI;ESD MOS EN AREA C-3001A;;;;;
30BALL901B;PLC=1448/FLD=1174(LCP);DO;BURNER 4;30BALL901B;RSU->HS;;;
30TI905B;PLC=10211/FLD=561(FLD);AI;ARCH TEMPERATURE;T905A;M;Показания;;
30HS023BA;PLC=1326/FLD=255(PNL);DI;CLS XV023-094/ P-3003A/S;30HS023B;HS->RSU;;#0;
30FI017;PLC=10076/FLD=512(FLD);AI;RAW STUFF TO COIL1 H3001;F017;M;Показания;;
30TI032A;PLC=10138/FLD=520(FLD);AI;TAR OIL H-3001 (1 COIL);T028A;M;Показания;;
30HS119BB;PLC=1427/FLD=232(PNL);DI;SD AT FIRE - T.03 PUMPH;30HS119B;HS->RSU;;#0;
30TI032B;PLC=10139/FLD=520(FLD);AI;TAR OIL H-3001 (1 COIL);T028A;M;Показания;;
30TI813;PLC=10168/FLD=1323(FLD);AI;P-3001S PUMP J. BEARING;Р-3001S;M;Температура_3;;
30BALL902B;PLC=1450/FLD=1174(LCP);DO;BURNER 6;30BALL902B;RSU->HS;;;
30LI058;PLC=10100/FLD=371(FLD);AI;V-3024 DARK OIL PRODUCTS;V-3024;M;Уровень;;
30XY070;PLC=1502/FLD=430(FLD);DO;SUPPLY WATER TO V-3012;XV-070;M;Соленоид;#0;
30XY068;PLC=1552/FLD=384(MCC);DO;P-3025 - STOP TECH FAIL;Р-3025;M;Стоп2;#0;
30HS047A;PLC=1330/FLD=1221(FLD);DI;C-3001A EMERGENCY STOP;30HS047A;HS->RSU;;#0;
30TI866;PLC=10200/FLD=410(FLD);AI;TEMP ISOLATION SHELL;Изм_Р-3017A;M;Температура_3;;
30PI074B;PLC=10463/FLD=340(FLD);AI;VAPORS OF HYDROC T-3003;T-3003;M;P_1;#*0.0980665;
30XY064B;PLC=1549/FLD=415(MCC);DO;P-3017S-STOP TECH FAIL;Р-3017S;M;Стоп2;#0;
30PI056;PLC=10108/FLD=291(FLD);AI;V-3005;V-3005;M;Давление;#*98.065;
30TI843B;PLC=10183/FLD=451(FLD);AI;P-3005 A THRUST BEARING;Р-3005A;M;Температура_2;;
30BALL903B;PLC=1452/FLD=1174(LCP);DO;BURNER 8;30BALL903B;RSU->HS;;;
30XY905;PLC=1258/FLD=1122(FLD);DO;FUEL OIL RETURN;XV-905;M;Соленоид;#0;
30TI750;PLC=10153/FLD=400(FLD);AI;P-3026 PUMP T. BEAR TEMP;Р-3026;M;Температура_1;;
30TI841A;PLC=10180/FLD=266(FLD);AI;P-3004 S  LINE BEARING;Р-3004S;M;Температура_1;;
30TI812;PLC=10167/FLD=1321(FLD);AI;P-3001S PUMP J. BEARING;Р-3001S;M;Температура_2;;
30XL120_ON;PLC=18/FLD=233(FSC);DO;GROUP SD AT FIRE - N. 03;;;;;
30XZSC094;PLC=1419/FLD=258(MOV);DI;"XV-094 ""CLOSED""";XV-094;M;Закрыт;;
30BSLL902A;PLC=10072/FLD=548(FLD);AI;BURNER 5;Н-3001;M;Интенсивность_пилот_3;;
30XL122_ON;PLC=20/FLD=235(FSC);DO;SD AT FIRE P3020 - N. 04;;;;;
30TI841A2;PLC=10426/FLD=266(FLD);AI;P-3004 S  LINE BEARING;Р-3004S;M;Температура_2;;
30HS122AB;PLC=1346/FLD=235(FLD);DI;SD AT FIRE P-3020 - T.04;30HS122A;HS->RSU;;#0;
30VSHH875A;PLC=1301/FLD=1212(BNS);DI;C-3001A VIBR CRANK VERT;;;;#=1;
30HS123AA;PLC=1347/FLD=236(FLD);DI;SD AT FIRE P-3025 - T.05;30HS123A;HS->RSU;;#0;
30FI877A2;PLC=10449/FLD=1400(FLD);AI;C-3001S COOL H20 CYL 1;F877A;M;Показания;;
30HS122AA;PLC=1345/FLD=235(FLD);DI;SD AT FIRE P-3020 - T.04;30HS122A;HS->RSU;;#0;
30XL943;PLC=1497/FLD=1170(LCP);DO;FUEL OIL READY TO START;30XL943;RSU->HS;;;
30HSXV009;PLC=1806/FLD=436(FLD);DI;30XV009 BUTTON FEED;HV-009_HS;HS->RSU;;#0;
30HS119BA;PLC=1426/FLD=232(PNL);DI;SD AT FIRE - T.03 PUMPH;30HS119B;HS->RSU;;#0;
30HS935;PLC=1360/FLD=1184(FLD);DI;ALARM ACKNOWLEDGE;30HS935;HS->RSU;;;
30BALL903A;PLC=1451/FLD=1172(LCP);DO;BURNER 7;30BALL903A;RSU->HS;;;
