PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4
M;C304_3_H;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;304;;;;;;;0;;;;4060;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;43HS586_B1;;COM;;;Bit 1;No;ЛОЖЬ;ЛОЖЬ;;1038;;;;;;;0;;;;2706;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_CCB;FGS_431_1;1567;;;;;;;;;;;;
M;1106_1120_2;;;;;430-15_FLGD_D2;;ЛОЖЬ;ЛОЖЬ;;1120;;;;;;;0;;;;3965;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C2402_1;;;;;Compiler marker (224, 84);;ЛОЖЬ;ЛОЖЬ;;2402;;;;;;;0;;;;353;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DI;43HS067_MOR;;COM;;;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;122;;;;;;;0;;;;5905;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;Input;EPKS_CCB;FGS_431_1;66;;;;;;;;;;;;
DO;43XA016;;FLD;;;Beacon (ЛВГ) Remote unit;Yes;ИСТИНА;ЛОЖЬ;;876;;;;;;;0;;;;45;ИСТИНА;56003;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;39.04;5;6;1;Appl;;;;ЛОЖЬ;;;;;;Output;EPKS_CCB;FGS_431_1;646;;;;;;;;;;;;
DI;93HS068C;;F01;;;Open shutter 93XV068;Yes;ИСТИНА;ЛОЖЬ;;1330;;;;;;;;;;;372;ЛОЖЬ;56004;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;39.06;9;13;1;Low;;Digital switch with Loop monitoring;ИСТИНА;ЛОЖЬ;;;1;ЛОЖЬ;;Output;EPKS_CCB;FGS_431_1;605;;;;;;;;;;;;
T;780_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;780;;;;;;;;100 ms;10;;168;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;
M;C1286_2_J;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1286;;;;;;;0;;;;3702;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;1220_6;;;;;;;ЛОЖЬ;ЛОЖЬ;;1220;;;;;;;0;;;;3285;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C1028_6_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1028;;;;;;;0;;;;4645;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C1024_2_G;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1024;;;;;;;0;;;;4662;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;43GT027_B1;;COM;;;Bit 1;No;ЛОЖЬ;ЛОЖЬ;;868;;;;;;;0;;;;546;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_CCB;FGS_431_1;930;;;;;;;;;;;;
T;1016_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;1016;;;;;;;;100 ms;10;;456;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;
DO;43XA065;;COM;;;TRIP INITIATOR-Fire;No;ЛОЖЬ;ЛОЖЬ;;118;;;;;;;1;;;;966;ИСТИНА;56511;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_CCB;FGS_431_1;1113;;;;;;;;;;;;
M;1050_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;1050;;;;;;;0;;;;1745;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C1200_5_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1200;;;;;;;0;;;;4518;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C226_1_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;226;;;;;;;0;;;;5672;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;2405_C;;;;;0=DIRTY OPTICS;;ЛОЖЬ;ЛОЖЬ;;2405;;;;;;;0;;;;1528;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
T;846_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;846;;;;;;;;100 ms;10;;284;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;
M;114_354_3;;;;;43HS063_MOC_FL;;ЛОЖЬ;ЛОЖЬ;;354;;;;;;;0;;;;781;ЛОЖЬ;0;;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C822_1_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;822;;;;;;;0;;;;5018;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C1102_4_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1102;;;;;;;0;;;;4543;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;1240_7;;;;;;;ЛОЖЬ;ЛОЖЬ;;1240;;;;;;;0;;;;3496;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;
AI;43HS589I;;FLD;;;Manual alarm;Yes;ИСТИНА;ЛОЖЬ;;626;ЛОЖЬ;Long;0-20mA;0;3276;;;;;;508;ЛОЖЬ;56005;;None;None;None;None;;;;0;0;;;;-XXXXX.X;0;4095;;39.05;5;9;1;Bottom scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;Output;EPKS_CCB;FGS_431_1;11505;;;;;;;;;;;;
M;128_354_3;;;;;43HS070_MOC_FL;;ЛОЖЬ;ЛОЖЬ;;354;;;;;;;0;;;;840;ЛОЖЬ;0;;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;870_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;870;;;;;;;0;;;;1478;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DI;43HS032;;FLD;;;Fire. Alarm check button;No;ИСТИНА;ЛОЖЬ;;222;;;;;;;;;;;189;ИСТИНА;56006;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;39.05;15;6;1;Low;;Digital switch without loop monitoring;;ЛОЖЬ;;;;ЛОЖЬ;;Output;EPKS_CCB;FGS_431_1;502;;;;;;;;;;;;
M;860_874_1;;;;;43GA023_FL;;ЛОЖЬ;ЛОЖЬ;;874;;;;;;;0;;;;1623;ЛОЖЬ;0;;;;;;;0=ACTIVATED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;136_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;136;;;;;;;0;;;;724;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;316_356_2;;;;;43YT018_MOC_FL;;ЛОЖЬ;ЛОЖЬ;;356;;;;;;;0;;;;2096;ЛОЖЬ;0;;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C762_2_H;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;762;;;;;;;0;;;;5183;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C842_3_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;842;;;;;;;0;;;;4972;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C312_3_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;312;;;;;;;0;;;;4039;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C126_1_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;126;;;;;;;0;;;;5769;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DI;43HS404;;FLD;;;Beacon and horn test button (remote unit);No;ИСТИНА;ЛОЖЬ;;1060;;;;;;;;;;;88;ИСТИНА;56007;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;39.03;15;1;1;Low;;Digital switch without loop monitoring;;ЛОЖЬ;;;;ЛОЖЬ;;Output;EPKS_CCB;FGS_431_1;449;;;;;;;;;;;;
T;1250_4;;;;;;;ЛОЖЬ;ЛОЖЬ;;1250;;;;;;;;100 ms;50;;1140;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;
M;1034_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;1034;;;;;;;0;;;;2714;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C760_2_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;760;;;;;;;0;;;;5191;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;100_318_6;;;;;43HS084;;ЛОЖЬ;ЛОЖЬ;;318;;;;;;;0;;;;1871;ЛОЖЬ;0;;;;;;;1=RESET;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;93HS065C_MOC;;COM;;;MO CONFIRM;No;ЛОЖЬ;ЛОЖЬ;;1300;;;;;;;0;;;;3087;ИСТИНА;56637;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_CCB;FGS_431_1;1467;;;;;;;;;;;;
M;314_318_1;;;;;43YA017_FL;;ЛОЖЬ;ЛОЖЬ;;318;;;;;;;0;;;;1881;ЛОЖЬ;0;;;;;;;0=ACTIVATED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C1316_2_T;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1316;;;;;;;0;;;;3501;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;60_755_1;;;;;FGS_431_1.FGS_001_1_SnS;;ЛОЖЬ;ЛОЖЬ;;755;;;;;;;0;;;;2095;ЛОЖЬ;0;;;;;;;1=NOT FAULTY;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;IB431_FGS1_D1;;COM;43015;;FORCE ENABLE;No;ЛОЖЬ;ЛОЖЬ;;21;;;;;;;0;;;;4222;ЛОЖЬ;0;None;;;;;;0=ENABLE;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_CCB;FGS_431_1;1645;;;;;;;;;;;;
M;C764_1_C;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;764;;;;;;;0;;;;5166;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;43GT040_MOC;;COM;;;MO CONFIRM;No;ЛОЖЬ;ЛОЖЬ;;930;;;;;;;0;;;;612;ИСТИНА;56462;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_CCB;FGS_431_1;997;;;;;;;;;;;;
M;C840_4_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;840;;;;;;;0;;;;4988;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C1316_1_J;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1316;;;;;;;0;;;;3530;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;676_678_2;;;;;43YT409_BadPV_FL;;ЛОЖЬ;ЛОЖЬ;;678;;;;;;;0;;;;2697;ЛОЖЬ;0;;;;;;;0=BadPV;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
BI;39-Second;;SYS;;;Second;No;ЛОЖЬ;;;24;;Byte;;;;;;;;;7;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C784_2_H;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;784;;;;;;;0;;;;5117;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;618_638_1;;;;;43XA589E_FL;;ЛОЖЬ;ЛОЖЬ;;638;;;;;;;0;;;;1379;ЛОЖЬ;0;;;;;;;0=ACTIVATED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C2463_3;;;;;Compiler marker (208, 240);;ЛОЖЬ;ЛОЖЬ;;2463;;;;;;;0;;;;1205;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;43GT032_MOC;;COM;;;MO CONFIRM;No;ЛОЖЬ;ЛОЖЬ;;896;;;;;;;0;;;;573;ИСТИНА;56446;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_CCB;FGS_431_1;957;;;;;;;;;;;;
DI;93XSO060;;MCC;;;Shutter 93XV060- open;Yes;ИСТИНА;ЛОЖЬ;;1256;;;;;;;;;;;280;ЛОЖЬ;56008;None;;;;;;1=OPEN;;;;;;;Undefined;491;3428;;39.06;3;1;1;Low;;Digital switch without loop monitoring;;ЛОЖЬ;;;;ЛОЖЬ;;Output;EPKS_CCB;FGS_431_1;545;;;;;;;;;;;;
M;846_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;846;;;;;;;0;;;;1578;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;93XY064A_TF;;COM;;;CHANNEL OR LINE FAULT;No;ЛОЖЬ;ЛОЖЬ;;1663;;;;;;;0;;;;89;ЛОЖЬ;0;None;;;;;;0=FAULT;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_CCB;FGS_431_1;672;;;;;;;;;;;;
DO;43GT020_B2;;COM;;;Bit 2;No;ЛОЖЬ;ЛОЖЬ;;844;;;;;;;0;;;;512;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_CCB;FGS_431_1;896;;;;;;;;;;;;
M;C1028_5_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1028;;;;;;;0;;;;4643;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;2462_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;2462;;;;;;;0;;;;2129;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;1060_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;1060;;;;;;;0;;;;1570;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;600_690_1;;;;;FGS_431_1.43HS599G;;ЛОЖЬ;ЛОЖЬ;;690;;;;;;;0;;;;173;ЛОЖЬ;0;;;;;;;1=ACK;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;2318_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;2318;;;;;;;0;;;;2485;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;100_266_5;;;;;FGS_431_1.43HS085;;ЛОЖЬ;ЛОЖЬ;;266;;;;;;;0;;;;167;ЛОЖЬ;0;;;;;;;1=ACK;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
T;860_2;;;;;;;ЛОЖЬ;ЛОЖЬ;;860;;;;;;;;100 ms;10;;328;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;
M;C1280_5_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1280;;;;;;;0;;;;3729;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C1036_3_F;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1036;;;;;;;0;;;;2967;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;1010_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;1010;;;;;;;0;;;;1698;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;2463_J;;;;;State RUNNING (1=RUNNING);;ЛОЖЬ;ЛОЖЬ;;2463;;;;;;;0;;;;2623;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C2358_1;;;;;Compiler marker (256, 54);;ЛОЖЬ;ЛОЖЬ;;2358;;;;;;;0;;;;363;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;C636_1_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;636;;;;;;;0;;;;5342;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;FGS_431_1.93XZLC059A;;FSC;;;Задвижка 93XV059-закрыта;Yes;ЛОЖЬ;ЛОЖЬ;;1246;;;;;;;0;;;;3151;ЛОЖЬ;0;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;Output;FGS_001_1;FGS_431_1;41;;;;;;;;
DI;93XSB065;;MCC;;;Автом. режим откл.;Yes;ИСТИНА;ЛОЖЬ;;1556;;;;;;;;;;;447;ИСТИНА;56712;None;;;;;;1=NO AUTO;;;;;;;Undefined;;;;39.06;13;8;1;Low;;Digital switch without loop monitoring;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;Output;EPKS_CCB;FGS_431_1;527;;;;;;;;;;;;
M;C862_1_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;862;;;;;;;0;;;;4919;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
T;1056_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;1056;;;;;;;;100 ms;10;;504;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;
DO;43YT101_MOC;;COM;;;MO CONFIRM;No;ЛОЖЬ;ЛОЖЬ;;480;;;;;;;0;;;;1440;ИСТИНА;56577;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_CCB;FGS_431_1;1270;;;;;;;;;;;;
M;C810_1;;;;;Compiler marker (256, 43);;ЛОЖЬ;ЛОЖЬ;;810;;;;;;;0;;;;5039;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
